component,property,property-type
Ocean,Key Properties,detail
Ocean,Key Properties > Basic Approximations,property
Ocean,Key Properties > Bathymetry,detail
Ocean,Key Properties > Bathymetry > Bathymetry Type,property
Ocean,Key Properties > Bathymetry > Reference Date,property
Ocean,Key Properties > Horizontal Discretization,detail
Ocean,Key Properties > Horizontal Discretization > Pole Singularity Treatment,property
Ocean,Key Properties > Horizontal Discretization > Scheme Method,property
Ocean,Key Properties > Horizontal Discretization > Staggering,property
Ocean,Key Properties > List Of Prognostic Variables,property
Ocean,Key Properties > Model Family,property
Ocean,Key Properties > Non- Oceanic Water,detail
Ocean,Key Properties > Non- Oceanic Water > Isolated Seas Mixing,property
Ocean,Key Properties > Non- Oceanic Water > River Mouth Mixing,property
Ocean,Key Properties > Ocean Nudging,detail
Ocean,Key Properties > Ocean Nudging > Momentum Damping,property
Ocean,Key Properties > Ocean Nudging > Momentum Damping > Lat Max,property
Ocean,Key Properties > Ocean Nudging > Momentum Damping > Lat Min,property
Ocean,Key Properties > Ocean Nudging > Momentum Damping > Lon Max,property
Ocean,Key Properties > Ocean Nudging > Momentum Damping > Lon Min,property
Ocean,Key Properties > Ocean Nudging > Momentum Damping > Lower Level,property
Ocean,Key Properties > Ocean Nudging > Momentum Damping > Upper Level,property
Ocean,Key Properties > Ocean Nudging > Tracers Damping,property
Ocean,Key Properties > Ocean Nudging > Tracers Damping > Applied To,property
Ocean,Key Properties > Ocean Nudging > Tracers Damping > Lat Max,property
Ocean,Key Properties > Ocean Nudging > Tracers Damping > Lat Min,property
Ocean,Key Properties > Ocean Nudging > Tracers Damping > Lon Max,property
Ocean,Key Properties > Ocean Nudging > Tracers Damping > Lon Min,property
Ocean,Key Properties > Ocean Nudging > Tracers Damping > Lower Level,property
Ocean,Key Properties > Ocean Nudging > Tracers Damping > Upper Level,property
Ocean,Key Properties > Sea Water,detail
Ocean,Key Properties > Sea Water > Equation Of State,property
Ocean,Key Properties > Sea Water > Freezing Point,property
Ocean,Key Properties > Sea Water > Freezing Point Value,property
Ocean,Key Properties > Sea Water > Specific Heat,property
Ocean,Key Properties > Sea Water > Specific Heat Value,property
Ocean,Key Properties > Time Stepping Framework,detail
Ocean,Key Properties > Time Stepping Framework > Baroclinic Momentum,property
Ocean,Key Properties > Time Stepping Framework > Barotropic Solver,property
Ocean,Key Properties > Time Stepping Framework > Time Step,property
Ocean,Key Properties > Time Stepping Framework > Tracers,property
Ocean,Scientific Properties,detail
Ocean,Scientific Properties > Basic Approximations,property
Ocean,Scientific Properties > Bathymetry,detail
Ocean,Scientific Properties > Bathymetry > Bathymetry Type,property
Ocean,Scientific Properties > Bathymetry > Reference Date,property
Ocean,Scientific Properties > Horizontal Discretization,detail
Ocean,Scientific Properties > Horizontal Discretization > Pole Singularity Treatment,property
Ocean,Scientific Properties > Horizontal Discretization > Pole Treatment,property
Ocean,Scientific Properties > Horizontal Discretization > Scheme Method,property
Ocean,Scientific Properties > Horizontal Discretization > Staggering,property
Ocean,Scientific Properties > Isopycnal Layer Thickness,property
Ocean,Scientific Properties > List Of Prognostic Variables,property
Ocean,Scientific Properties > Model Family,property
Ocean,Scientific Properties > Non- Oceanic Water,detail
Ocean,Scientific Properties > Non- Oceanic Water > Isolated Seas Mixing,property
Ocean,Scientific Properties > Non- Oceanic Water > River Mouth Mixing,property
Ocean,Scientific Properties > Non- Oceanic Water > SSH Control In Isolated Seas,property
Ocean,Scientific Properties > Ocean Nudging,detail
Ocean,Scientific Properties > Ocean Nudging > Momentum Damping,detail
Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lat Max,property
Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lat Min,property
Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lon Max,property
Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lon Min,property
Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lower Level,property
Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Upper Level,property
