CMIP5 component [> process],CMIP5 property,CMIP6 Specialization ID
Atmosphere,Basic Approximations,cmip6.atmos.key_properties.basic_approximations
Atmosphere,Model Family,cmip6.atmos.key_properties.model_family
Atmosphere,Orography > Orography Changes,cmip6.atmos.key_properties.orography.modified
Atmosphere,Orography > Orography Type,cmip6.atmos.key_properties.orography.type
Atmosphere,Top Of Atmos Insolation > Impact On Ozone,cmip6.atmos.natural_forcing.insolation_ozone.solar_ozone_impact
Atmosphere,Top Of Atmos Insolation > Orbital Parameters > Computation Method,cmip6.atmos.natural_forcing.orbital_parameters.computation_method
Atmosphere,Top Of Atmos Insolation > Orbital Parameters > Computeration Methode,cmip6.atmos.natural_forcing.orbital_parameters.computation_method
Atmosphere,Top Of Atmos Insolation > Orbital Parameters > Method For Paleoclimate,
Atmosphere,Top Of Atmos Insolation > Orbital Parameters > Method For Recent Past,
Atmosphere,Top Of Atmos Insolation > Orbital Parameters > Reference Date,cmip6.atmos.natural_forcing.orbital_parameters.fixed_reference_date
Atmosphere,Top Of Atmos Insolation > Orbital Parameters > Transient Method,cmip6.atmos.natural_forcing.orbital_parameters.transient_method
Atmosphere,Top Of Atmos Insolation > Orbital Parameters > Type,cmip6.atmos.natural_forcing.orbital_parameters.type
Atmosphere,Top Of Atmos Insolation > Orbital Parameters > Vernal Equinox,
Atmosphere,Top Of Atmos Insolation > Solar Constant,cmip6.atmos.natural_forcing.solar_constant.fixed_value
Atmosphere,Top Of Atmos Insolation > Solar Constant > Characteristics,cmip6.atmos.natural_forcing.solar_constant.transient_characteristics
Atmosphere,Top Of Atmos Insolation > Solar Constant > Type,cmip6.atmos.natural_forcing.solar_constant.type
Atmosphere,Top Of Atmos Insolation > Solar Constant > Value,cmip6.atmos.natural_forcing.solar_constant.fixed_value
Atmosphere,Volcanoes Implementation,cmip6.atmos.natural_forcing.volcanoes_treatment.volcanoes_implementation
Atmosphere,Volcanoes Implementation Detail,
Atmosphere,Volcanoes Implementation Method,
,,
Atmosphere > Convection Cloud Turbulence,Boundary Layer Turbulence > Closure Order,cmip6.atmos.turbulence_convection.boundary_layer_turbulence.closure_order
Atmosphere > Convection Cloud Turbulence,Boundary Layer Turbulence > Counter Gradient,cmip6.atmos.turbulence_convection.boundary_layer_turbulence.counter_gradient
Atmosphere > Convection Cloud Turbulence,Boundary Layer Turbulence > Scheme Name,cmip6.atmos.turbulence_convection.boundary_layer_turbulence.scheme_name
Atmosphere > Convection Cloud Turbulence,Boundary Layer Turbulence > Scheme Type,cmip6.atmos.turbulence_convection.boundary_layer_turbulence.scheme_type
Atmosphere > Convection Cloud Turbulence,Deep Convection > Closure,
Atmosphere > Convection Cloud Turbulence,Deep Convection > Processes,cmip6.atmos.turbulence_convection.deep_convection.processes
