Table 1,
CMIP5 component [> process],CMIP6 Specialization ID
Atmosphere,cmip6.atmos
Atmosphere > Convection Cloud Turbulence,cmip6.atmos.turbulence_convection
Atmosphere > Convection Cloud Turbulence > Cloud Scheme,cmip6.atmos.cloud_scheme
Atmosphere > Convection Cloud Turbulence > Cloud Simulator,cmip6.atmos.observation_simulation
Atmosphere > Dynamical Core,cmip6.atmos.dynamical_core
Atmosphere > Dynamical Core > Advection,cmip6.atmos.dynamical_core.advection
Atmosphere > Orography & Waves,cmip6.atmos.gravity_waves
Atmosphere > Radiation,cmip6.atmos.radiation
