CMIP5 component [> process],CMIP5 property,CMIP6 Specialization ID
Atmospheric Chemistry,Basic Approximations,cmip6.atmoschem.key_properties.basic_approximations
Atmospheric Chemistry,Chem Scheme Scope,cmip6.atmoschem.key_properties.chemistry_scheme_scope
Atmospheric Chemistry,Coupling With Chemical Reactivity,cmip6.atmoschem.key_properties.coupling_with_chemical_reactivity
Atmospheric Chemistry,Family Approach,
Atmospheric Chemistry,List Of Prognostic Variables,
Atmospheric Chemistry,Number Of Tracers,cmip6.atmoschem.key_properties.number_of_tracers
Atmospheric Chemistry,Time Stepping Framework > Advection Time Step,cmip6.atmoschem.key_properties.timestep_framework.split_operator_advection_timestep
Atmospheric Chemistry,Time Stepping Framework > Method,cmip6.atmoschem.key_properties.timestep_framework.method
Atmospheric Chemistry,Time Stepping Framework > Physical Time Step,cmip6.atmoschem.key_properties.timestep_framework.split_operator_physical_timestep
,,
Atmospheric Chemistry > Emission & Concentration,2D-Emissions > Clim Emitted Species,cmip6.atmoschem.emissions_concentrations.surface_emissions.prescribed_climatology_emitted_species
Atmospheric Chemistry > Emission & Concentration,2D-Emissions > Climatology Type,
Atmospheric Chemistry > Emission & Concentration,2D-Emissions > Emitted Species,cmip6.atmoschem.emissions_concentrations.surface_emissions.other_emitted_species
Atmospheric Chemistry > Emission & Concentration,2D-Emissions > Interactiv Emitted Species,cmip6.atmoschem.emissions_concentrations.surface_emissions.interactive_emitted_species
Atmospheric Chemistry > Emission & Concentration,2D-Emissions > Method,
Atmospheric Chemistry > Emission & Concentration,2D-Emissions > Method Characteristics,
Atmospheric Chemistry > Emission & Concentration,2D-Emissions > Source Types,cmip6.atmoschem.emissions_concentrations.surface_emissions.sources
Atmospheric Chemistry > Emission & Concentration,3D-Emissions > Clim Emitted Species,cmip6.atmoschem.emissions_concentrations.atmospheric_emissions.prescribed_climatology_emitted_species
Atmospheric Chemistry > Emission & Concentration,3D-Emissions > Climatology Type,
Atmospheric Chemistry > Emission & Concentration,3D-Emissions > Emitted Species,cmip6.atmoschem.emissions_concentrations.atmospheric_emissions.other_emitted_species
Atmospheric Chemistry > Emission & Concentration,3D-Emissions > Interactiv Emitted Species,cmip6.atmoschem.emissions_concentrations.atmospheric_emissions.interactive_emitted_species
Atmospheric Chemistry > Emission & Concentration,3D-Emissions > Method,
Atmospheric Chemistry > Emission & Concentration,3D-Emissions > Method Characteristics,
Atmospheric Chemistry > Emission & Concentration,3D-Emissions > Source Types,cmip6.atmoschem.emissions_concentrations.atmospheric_emissions.sources
Atmospheric Chemistry > Emission & Concentration,Concentrations > Prescribed Lower Boundary,cmip6.atmoschem.emissions_concentrations.concentrations.prescribed_lower_boundary
Atmospheric Chemistry > Emission & Concentration,Concentrations > Prescribed Upper Boundary,cmip6.atmoschem.emissions_concentrations.concentrations.prescribed_upper_boundary
,,
Atmospheric Chemistry > Gas Phase Chemistry,Atm Gas Phase Chemistry Attributes > Species,cmip6.atmoschem.gas_phase_chemistry.species
Atmospheric Chemistry > Gas Phase Chemistry,Atm Gas Phase Chemistry Attributes > Species Detail,
Atmospheric Chemistry > Gas Phase Chemistry,Num Of Reactions And Species > Number Of Advected Species,
Atmospheric Chemistry > Gas Phase Chemistry,Num Of Reactions And Species > Number Of Bimolecular Reactions,cmip6.atmoschem.gas_phase_chemistry.number_of_bimolecular_reactions
Atmospheric Chemistry > Gas Phase Chemistry,Num Of Reactions And Species > Number Of Photolysis Reactions,
Atmospheric Chemistry > Gas Phase Chemistry,Num Of Reactions And Species > Number Of Steady State Species,cmip6.atmoschem.gas_phase_chemistry.number_of_steady_state_species
Atmospheric Chemistry > Gas Phase Chemistry,Num Of Reactions And Species > Number Of Termolecular Reactions,cmip6.atmoschem.gas_phase_chemistry.number_of_termolecular_reactions
Atmospheric Chemistry > Gas Phase Chemistry,Processes > Dry Deposition,
Atmospheric Chemistry > Gas Phase Chemistry,Processes > Oxidation,cmip6.atmoschem.gas_phase_chemistry.wet_oxidation
Atmospheric Chemistry > Gas Phase Chemistry,Processes > Wash Out- Rain Out,
Atmospheric Chemistry > Gas Phase Chemistry,Processes > Wet Deposition,cmip6.atmoschem.gas_phase_chemistry.wet_deposition
,,
Atmospheric Chemistry > Heterogen Chemistry > Stratospheric,Num Of Reactions And Species > Number Of Advected Species,
Atmospheric Chemistry > Heterogen Chemistry > Stratospheric,Num Of Reactions And Species > Number Of Reactions,
Atmospheric Chemistry > Heterogen Chemistry > Stratospheric,Num Of Reactions And Species > Number Of Steady State Species,cmip6.atmoschem.stratospheric_heterogeneous_chemistry.number_of_steady_state_species
Atmospheric Chemistry > Heterogen Chemistry > Stratospheric,Processes > Coagulation,cmip6.atmoschem.stratospheric_heterogeneous_chemistry.coagulation
Atmospheric Chemistry > Heterogen Chemistry > Stratospheric,Processes > Sedimentation,cmip6.atmoschem.stratospheric_heterogeneous_chemistry.sedimentation
Atmospheric Chemistry > Heterogen Chemistry > Stratospheric,Species > Aerosol,cmip6.atmoschem.stratospheric_heterogeneous_chemistry.aerosol_species
Atmospheric Chemistry > Heterogen Chemistry > Stratospheric,Species > Gas Phase,cmip6.atmoschem.stratospheric_heterogeneous_chemistry.gas_phase_species
Atmospheric Chemistry > Heterogen Chemistry > Stratospheric,Species > Gas Phase Detail,
,,
Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Num Of Reactions And Species > Number Of Advected Species,
Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Num Of Reactions And Species > Number Of Reactions,
Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Num Of Reactions And Species > Number Of Steady State Species,cmip6.atmoschem.tropospheric_heterogeneous_chemistry.number_of_steady_state_species
Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Processes > Coagulation,cmip6.atmoschem.tropospheric_heterogeneous_chemistry.coagulation
Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Processes > Dry Deposition,
Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Processes > Wash Out- Rain Out,
Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Processes > Wet Deposition,
Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Species > Aerosol,cmip6.atmoschem.tropospheric_heterogeneous_chemistry.aerosol_species
Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Species > Gas Phase,cmip6.atmoschem.tropospheric_heterogeneous_chemistry.gas_phase_species
,,
Atmospheric Chemistry > Photo Chemistry,Num Of Reactions And Species,
Atmospheric Chemistry > Photo Chemistry,Num Of Reactions And Species > Number Of Reactions,cmip6.atmoschem.photo_chemistry.number_of_reactions
Atmospheric Chemistry > Photo Chemistry,Num Of Reactions And Species > Number Of Species,
Atmospheric Chemistry > Photo Chemistry,Photolysis > Method,cmip6.atmoschem.photo_chemistry.photolysis.method
Atmospheric Chemistry > Photo Chemistry,Photolysis > Processes,
Atmospheric Chemistry > Photo Chemistry,Photolysis > Reaction Data,
,,
Atmospheric Chemistry > Transport,Convection,
Atmospheric Chemistry > Transport,Dry Mass Conservation,
Atmospheric Chemistry > Transport,Mass Conservation,
Atmospheric Chemistry > Transport,Scheme Type,
Atmospheric Chemistry > Transport,Tracer And Moisture Conservation,
Atmospheric Chemistry > Transport,Turbulence > Coupling With Chemical Reactivity,
Atmospheric Chemistry > Transport,Turbulence > Type,
