CMIP5 component [> process],CMIP6 Specialization ID
Land Surface,cmip6.land
Land Surface > Albedo,cmip6.land.snow.snow_albedo
Land Surface > Carbon Cycle,cmip6.land.carbon_cycle
Land Surface > Carbon Cycle > Vegetation,cmip6.land.carbon_cycle.vegetation
Land Surface > Energy Balance,cmip6.land.energy_balance
Land Surface > Lakes,cmip6.land.lakes
Land Surface > River Routing,cmip6.land.river_routing
Land Surface > Snow,cmip6.land.snow
Land Surface > Soil,cmip6.land.soil
Land Surface > Soil > Heat Treatment,cmip6.land.soil.heat_treatment
Land Surface > Soil > Hydrology,cmip6.land.soil.hydrology
Land Surface > Vegetation,cmip6.land.vegetation
