CMIP5 component [> process],CMIP5 property,CMIP6 Specialization ID
Land Surface,Basic Approximations,
Land Surface,Conservation Of Properties > Lag Of Water Discharge,
Land Surface,Conservation Of Properties > Water Storage Method,
Land Surface,Conservation Of Properties > Water Treatment,
Land Surface,Coupling With Atmosphere,
Land Surface,Genealogy,
Land Surface,Land Cover Types,cmip6.land.key_properties.land_cover
Land Surface,List Of Prognostic Variables,
Land Surface,Tiling,
Land Surface,Tiling Method,
Land Surface,Time Stepping Framework > Method,
Land Surface,Time Stepping Framework > Time Step,cmip6.land.key_properties.timestepping_framework.time_step
,,
Land Surface > Albedo,Snow Albedo > Function Of,cmip6.land.snow.snow_albedo.functions
Land Surface > Albedo,Snow Albedo > SnowAlbedo Is A Function Of,
Land Surface > Albedo,Snow Albedo > Type,cmip6.land.snow.snow_albedo.type
Land Surface > Albedo,Snow Free Albedo > Direct- Diffuse,cmip6.land.soil.snow_free_albedo.direct_diffuse
Land Surface > Albedo,Snow Free Albedo > Function Of,cmip6.land.soil.snow_free_albedo.functions
Land Surface > Albedo,Snow Free Albedo > Number Of Wavelengh Bands,cmip6.land.soil.snow_free_albedo.number_of_wavelength_bands
Land Surface > Albedo,Snow Free Albedo > Type,
Land Surface > Albedo,Specific Tiling,
,,
Land Surface > Carbon Cycle,Litter,
Land Surface > Carbon Cycle,Permafrost > List Of Gases,cmip6.land.carbon_cycle.permafrost_carbon.emitted_greenhouse_gases
Land Surface > Carbon Cycle,Soil > List Of Carbon Pools,cmip6.land.carbon_cycle.soil.carbon_pools
Land Surface > Carbon Cycle,Soil > Litter: List Of Carbon Pools,
Land Surface > Carbon Cycle,Soil > Litter: Number Of Carbon Pools,cmip6.land.carbon_cycle.soil.number_of_carbon_pools
Land Surface > Carbon Cycle,Soil > Method,
Land Surface > Carbon Cycle,Soil > Number Of Carbon Pools,
,,
Land Surface > Carbon Cycle > Vegetation,Allocation > Allocation Bins,cmip6.land.carbon_cycle.vegetation.allocation.allocation_bins
Land Surface > Carbon Cycle > Vegetation,Allocation > Allocation Fractions,cmip6.land.carbon_cycle.vegetation.allocation.allocation_fractions
Land Surface > Carbon Cycle > Vegetation,Autotrophic Respiration > Maintenance Respiration,
Land Surface > Carbon Cycle > Vegetation,Autotrophic Respiration > Method,
Land Surface > Carbon Cycle > Vegetation,List Of Carbon Pools,cmip6.land.carbon_cycle.vegetation.carbon_pools
Land Surface > Carbon Cycle > Vegetation,Number Of Carbon Pools,cmip6.land.carbon_cycle.vegetation.number_of_carbon_pools
Land Surface > Carbon Cycle > Vegetation,Phenology > Method,
Land Surface > Carbon Cycle > Vegetation,Photosynthesis > Method,
,,
Land Surface > Energy Balance,Number Of Surface Temperatures,cmip6.land.energy_balance.number_of_surface_temperatures
Land Surface > Energy Balance,Scheme Method > Evaporation Formulation,
Land Surface > Energy Balance,Scheme Method > Process:,
Land Surface > Energy Balance,Scheme Method > Processes,cmip6.land.energy_balance.processes
Land Surface > Energy Balance,Scheme Method > Type Of Evaporation Formulation,cmip6.land.energy_balance.evaporation
Land Surface > Energy Balance,Specific Tiling,
Land Surface > Energy Balance,Subsurface Tiling,
,,
Land Surface > Lakes,Coupling With Rivers,cmip6.land.lakes.coupling_with_rivers
Land Surface > Lakes,Quantities Exchanged With Rivers,cmip6.land.lakes.quantities_exchanged_with_rivers
Land Surface > Lakes,Scheme Method > Dynamic Lakes Extent,cmip6.land.lakes.method.dynamic_lake_extent
Land Surface > Lakes,Scheme Method > Endorheic Basins,cmip6.land.lakes.method.endorheic_basins
Land Surface > Lakes,Scheme Method > Ice Treatment,cmip6.land.lakes.method.ice_treatment
Land Surface > Lakes,Scheme Method > Lakes Albedo,cmip6.land.lakes.method.albedo
Land Surface > Lakes,Scheme Method > Lakes Dynamics,cmip6.land.lakes.method.dynamics
,,
Land Surface > River Routing,Coupling With Atmosphere,cmip6.land.river_routing.coupled_to_atmosphere
Land Surface > River Routing,Drainage Map,cmip6.land.river_routing.basin_flow_direction_map
Land Surface > River Routing,List Of Prognostic Variables,
Land Surface > River Routing,Number Of Reservoirs,cmip6.land.river_routing.number_of_reservoirs
Land Surface > River Routing,Oceanic Discharge > Quantities Transported,cmip6.land.river_routing.oceanic_discharge.quantities_transported
Land Surface > River Routing,Oceanic Discharge > Type,cmip6.land.river_routing.oceanic_discharge.discharge_type
Land Surface > River Routing,Quantities Exchanged With Atmosphere,cmip6.land.river_routing.quantities_exchanged_with_atmosphere
Land Surface > River Routing,Resolution,
Land Surface > River Routing,Specific Tiling,
Land Surface > River Routing,Water Re-evaporation,cmip6.land.river_routing.water_re_evaporation
,,
Land Surface > Snow,Number Of Snow Layers,cmip6.land.snow.number_of_snow_layers
Land Surface > Snow,Scheme Method > Processes,cmip6.land.snow.processes
Land Surface > Snow,"Scheme Method > Processes:  Snow Melting,refreezing, Interception.",
Land Surface > Snow,Scheme Method > Snow Albedo,cmip6.land.snow.snow_albedo.type
Land Surface > Snow,Scheme Method > Snow Cover Fractions,cmip6.land.snow.snow_cover_fractions
Land Surface > Snow,Scheme Method > Snow Density,cmip6.land.snow.density
Land Surface > Snow,Scheme Method > Snow Heat Content,cmip6.land.snow.heat_content
Land Surface > Snow,Scheme Method > Snow Liquid Water Content,cmip6.land.snow.liquid_water_content
