CMIP5 component [> process],CMIP5 property,CMIP6 Specialization ID
Land Ice,Albedo Function Of,
Land Ice,Land Ice Albedo,
,,
Land Ice > Glaciers,Dynamic Areal Extent,cmip6.landice.glaciers.dynamic_areal_extent
Land Ice > Glaciers,Mass Balance > Ablation Calculation,
Land Ice > Glaciers,Mass Balance > Downscaling Technique,
Land Ice > Glaciers,Snow Treatment > Method,
Land Ice > Glaciers,Snow Treatment > Number Of Snow Layers,
Land Ice > Glaciers,Snow Treatment > Properties,
,,
Land Ice > Sheet,Mass Balance > Ablation Calculation,
Land Ice > Sheet,Mass Balance > Downscaling Technique,
Land Ice > Sheet,Snow Treatment > List Of Prognostic Variables,
Land Ice > Sheet,Snow Treatment > Method,
Land Ice > Sheet,Snow Treatment > Number Of Snow Layers,
Land Ice > Sheet,Snow Treatment > Processes,
,,
Land Ice > Sheet > Dynamics,Coupling With Atmosphere,
Land Ice > Sheet > Dynamics,Model- Numerics > Approximation,
Land Ice > Sheet > Dynamics,Model- Numerics > Ice Streams,
Land Ice > Sheet > Dynamics,Model- Numerics > Time Stepping Method,
,,
Land Ice > Shelves,Mass Balance > Ablation Calculation,
Land Ice > Shelves,Mass Balance > Downscaling Technique,
Land Ice > Shelves,Snow Treatment > List Of Prognostic Variables,
Land Ice > Shelves,Snow Treatment > Method,
Land Ice > Shelves,Snow Treatment > Number Of Snow Layers,
Land Ice > Shelves,Snow Treatment > Processes,
,,
Land Ice > Shelves > Dynamics,Coupling With Ocean,
