CMIP5 component [> process],CMIP5 property,CMIP6 Specialization ID
Ocean,Basic Approximations,cmip6.ocean.key_properties.basic_approximations
Ocean,Bathymetry > Bathymetry Type,cmip6.ocean.key_properties.bathymetry.type
Ocean,Bathymetry > Reference Date,cmip6.ocean.key_properties.bathymetry.reference_dates
Ocean,Horizontal Discretization > Pole Singularity Treatment,cmip6.ocean.grid.discretisation.horizontal.type
Ocean,Horizontal Discretization > Scheme Method,cmip6.ocean.grid.discretisation.horizontal.scheme
Ocean,Horizontal Discretization > Staggering,
Ocean,List Of Prognostic Variables,cmip6.ocean.key_properties.prognostic_variables
Ocean,Model Family,cmip6.ocean.key_properties.model_family
Ocean,Non- Oceanic Water > Isolated Seas Mixing,cmip6.ocean.key_properties.nonoceanic_waters.isolated_seas
Ocean,Non- Oceanic Water > River Mouth Mixing,cmip6.ocean.key_properties.nonoceanic_waters.river_mouth
Ocean,Ocean Nudging > Momentum Damping > Lat Max,
Ocean,Ocean Nudging > Momentum Damping > Lat Min,
Ocean,Ocean Nudging > Momentum Damping > Lon Max,
Ocean,Ocean Nudging > Momentum Damping > Lon Min,
Ocean,Ocean Nudging > Momentum Damping > Lower Level,
Ocean,Ocean Nudging > Momentum Damping > Upper Level,
Ocean,Ocean Nudging > Tracers Damping > Applied To,
Ocean,Ocean Nudging > Tracers Damping > Lat Max,
Ocean,Ocean Nudging > Tracers Damping > Lat Min,
Ocean,Ocean Nudging > Tracers Damping > Lon Max,
Ocean,Ocean Nudging > Tracers Damping > Lon Min,
Ocean,Ocean Nudging > Tracers Damping > Lower Level,
Ocean,Ocean Nudging > Tracers Damping > Upper Level,
Ocean,Sea Water > Equation Of State,cmip6.ocean.key_properties.seawater_properties.eos_type
Ocean,Sea Water > Freezing Point,cmip6.ocean.key_properties.seawater_properties.ocean_freezing_point
Ocean,Sea Water > Freezing Point Value,
Ocean,Sea Water > Specific Heat,cmip6.ocean.key_properties.seawater_properties.ocean_specific_heat
Ocean,Sea Water > Specific Heat Value,
Ocean,Time Stepping Framework > Baroclinic Momentum,
Ocean,Time Stepping Framework > Barotropic Solver,
Ocean,Time Stepping Framework > Barotropic Solver Method,
Ocean,Time Stepping Framework > Time Step,
Ocean,Time Stepping Framework > Tracer Time Stepping,cmip6.ocean.timestepping_framework.tracers.time_step
Ocean,Time Stepping Framework > Tracers,cmip6.ocean.timestepping_framework.tracers.scheme
,,
Ocean > Advection,Lateral Tracers > Monotonic Flux Limiter,cmip6.ocean.advection.lateral_tracers.flux_limiter
Ocean > Advection,Lateral Tracers > Scheme Type,cmip6.ocean.advection.lateral_tracers.name
Ocean > Advection,Momentum > Scheme Name,cmip6.ocean.advection.momentum.scheme_name
Ocean > Advection,Momentum > Scheme Type,cmip6.ocean.advection.momentum.type
Ocean > Advection,Vertical Tracers > Monotonic Flux Limiter,cmip6.ocean.advection.vertical_tracers.flux_limiter
Ocean > Advection,Vertical Tracers > Scheme Type,cmip6.ocean.advection.vertical_tracers.name
,,
Ocean > Boundary Forcing,Momentum > Bottom Friction,cmip6.ocean.boundary_forcing.momentum.bottom_friction.type
Ocean > Boundary Forcing,Momentum > Lateral Friction,cmip6.ocean.boundary_forcing.momentum.lateral_friction.type
Ocean > Boundary Forcing,Momentum > Surface Flux Correction,cmip6.ocean.boundary_forcing.momentum_flux_correction
,,
Ocean > Boundary Forcing > Tracers,Geothermal Heating,cmip6.ocean.boundary_forcing.geothermal_heating
Ocean > Boundary Forcing > Tracers,Sunlight Penetration > Ocean Color Dependent,cmip6.ocean.boundary_forcing.tracers.sunlight_penetration.ocean_colour
Ocean > Boundary Forcing > Tracers,Sunlight Penetration > Scheme Type,cmip6.ocean.boundary_forcing.tracers.sunlight_penetration.scheme
Ocean > Boundary Forcing > Tracers,Surface Flux Corrections,cmip6.ocean.boundary_forcing.tracers_flux_correction
Ocean > Boundary Forcing > Tracers,Surface Salinity > From Atmosphere,
Ocean > Boundary Forcing > Tracers,Surface Salinity > From River,
Ocean > Boundary Forcing > Tracers,Surface Salinity > From Sea Ice,
,,
Ocean > Lateral Physics > Momentum,Eddy Viscosity Coefficient > Coefficient Type,cmip6.ocean.lateral_physics.momentum.eddy_viscosity_coeff.type
Ocean > Lateral Physics > Momentum,Eddy Viscosity Coefficient > Coefficient Type Detail,
Ocean > Lateral Physics > Momentum,Eddy Viscosity Coefficient > Coefficient Value,cmip6.ocean.lateral_physics.momentum.eddy_viscosity_coeff.constant_coefficient
Ocean > Lateral Physics > Momentum,Eddy Viscosity Coefficient > Minimal Background Value,cmip6.ocean.lateral_physics.momentum.eddy_viscosity_coeff.coeff_background
