Table 1,
CMIP5 component [> process],CMIP6 Specialization ID
Ocean,cmip6.ocean
Ocean > Advection,cmip6.ocean.advection
Ocean > Boundary Forcing,cmip6.ocean.boundary_forcing
Ocean > Boundary Forcing > Tracers,cmip6.ocean.boundary_forcing.tracers
Ocean > Lateral Physics,cmip6.ocean.lateral_physics
Ocean > Lateral Physics > Momentum,cmip6.ocean.lateral_physics.momentum
Ocean > Lateral Physics > Tracers,cmip6.ocean.lateral_physics.tracers
Ocean > Upper & Lower Boundaries,cmip6.ocean.uplow_boundaries
Ocean > Vertical Physics,cmip6.ocean.vertical_physics
Ocean > Vertical Physics > Interior Mixing,cmip6.ocean.vertical_physics.interior_mixing
Ocean > Vertical Physics > Mixed Layer,cmip6.ocean.vertical_physics.boundary_layer_mixing
