CMIP5 component [> process],CMIP5 property,CMIP6 Specialization ID
Ocean Bio-Geo Chemistry,Basic Approximations,
Ocean Bio-Geo Chemistry,Bio Geo Tracers Damping > Lat Max,
Ocean Bio-Geo Chemistry,Bio Geo Tracers Damping > Lat Min,
Ocean Bio-Geo Chemistry,Bio Geo Tracers Damping > List Of Tracers,
Ocean Bio-Geo Chemistry,Bio Geo Tracers Damping > Lon Max,
Ocean Bio-Geo Chemistry,Bio Geo Tracers Damping > Lon Min,
Ocean Bio-Geo Chemistry,Bio Geo Tracers Damping > Lower Level,
Ocean Bio-Geo Chemistry,Bio Geo Tracers Damping > Upper Level,
Ocean Bio-Geo Chemistry,List Of Prognostic Variables,cmip6.ocnbgchem.key_properties.prognostic_variables
Ocean Bio-Geo Chemistry,Ocean Bio Time Step Framework > Biology,
Ocean Bio-Geo Chemistry,Ocean Bio Time Step Framework > Biology > Method,
Ocean Bio-Geo Chemistry,Ocean Bio Time Step Framework > Biology > Time Step,
Ocean Bio-Geo Chemistry,Ocean Bio Time Step Framework > Passive Tracers,
Ocean Bio-Geo Chemistry,Ocean Bio Time Step Framework > Passive Tracers > Method,cmip6.ocnbgchem.key_properties.time_stepping_framework.passive_tracers_transport.method
Ocean Bio-Geo Chemistry,Ocean Bio Time Step Framework > Passive Tracers > Time Step,
Ocean Bio-Geo Chemistry,Transport > Method,
Ocean Bio-Geo Chemistry,Transport > Method Characteristics,
,,
Ocean Bio-Geo Chemistry > Boundary Forcing,Atmospheric Deposition,cmip6.ocnbgchem.key_properties.boundary_forcing.atmospheric_deposition
Ocean Bio-Geo Chemistry > Boundary Forcing,River Input,cmip6.ocnbgchem.key_properties.boundary_forcing.river_input
Ocean Bio-Geo Chemistry > Boundary Forcing,Sediment Interactions,
,,
Ocean Bio-Geo Chemistry > Chemistry,Carbon Chemistry > Carbon Chem Constants,
Ocean Bio-Geo Chemistry > Chemistry,Carbon Chemistry > Co3,
Ocean Bio-Geo Chemistry > Chemistry,Carbon Chemistry > Dissic,
Ocean Bio-Geo Chemistry > Chemistry,Carbon Chemistry > P H-scale,cmip6.ocnbgchem.key_properties.carbon_chemistry.pH_scale
Ocean Bio-Geo Chemistry > Chemistry,Carbon Chemistry > Ph,
Ocean Bio-Geo Chemistry > Chemistry,Carbon Chemistry > Talk,
,,
Ocean Bio-Geo Chemistry > Gas Exchange,C O > Present,
Ocean Bio-Geo Chemistry > Gas Exchange,C O2 > Fgco2,
Ocean Bio-Geo Chemistry > Gas Exchange,C O2 > Present,cmip6.ocnbgchem.key_properties.gas_exchange.CO2_exchange_present
Ocean Bio-Geo Chemistry > Gas Exchange,C O2 > Scheme Type,cmip6.ocnbgchem.key_properties.gas_exchange.CO2_exchange_type
Ocean Bio-Geo Chemistry > Gas Exchange,D M S > Present,cmip6.ocnbgchem.key_properties.gas_exchange.DMS_exchange_present
