cmip6-id, cmip6-label, cmip6-type
cmip6.aerosol.key_properties.name, Aerosol > Key Properties > Name, property
cmip6.aerosol.key_properties.keywords, Aerosol > Key Properties > Keywords, property
cmip6.aerosol.key_properties.overview, Aerosol > Key Properties > Overview, property
cmip6.aerosol.key_properties.scheme_scope, Aerosol > Key Properties > Scheme Scope, property
cmip6.aerosol.key_properties.basic_approximations, Aerosol > Key Properties > Basic Approximations, property
cmip6.aerosol.key_properties.prognostic_variables_form, Aerosol > Key Properties > Prognostic Variables Form, property
cmip6.aerosol.key_properties.number_of_tracers, Aerosol > Key Properties > Number Of Tracers, property
cmip6.aerosol.key_properties.family_approach, Aerosol > Key Properties > Family Approach, property
cmip6.aerosol.key_properties.software_properties.repository, Aerosol > Key Properties > Software Properties > Repository, property
cmip6.aerosol.key_properties.software_properties.code_version, Aerosol > Key Properties > Software Properties > Code Version, property
cmip6.aerosol.key_properties.software_properties.code_languages, Aerosol > Key Properties > Software Properties > Code Languages, property
cmip6.aerosol.key_properties.timestep_framework.method, Aerosol > Key Properties > Timestep Framework > Method, property
cmip6.aerosol.key_properties.timestep_framework.split_operator_advection_timestep, Aerosol > Key Properties > Timestep Framework > Split Operator Advection Timestep, property
cmip6.aerosol.key_properties.timestep_framework.split_operator_physical_timestep, Aerosol > Key Properties > Timestep Framework > Split Operator Physical Timestep, property
cmip6.aerosol.key_properties.timestep_framework.integrated_timestep, Aerosol > Key Properties > Timestep Framework > Integrated Timestep, property
cmip6.aerosol.key_properties.timestep_framework.integrated_scheme_type, Aerosol > Key Properties > Timestep Framework > Integrated Scheme Type, property
cmip6.aerosol.key_properties.meteorological_forcings.variables_3D, Aerosol > Key Properties > Meteorological Forcings > Variables 3D, property
cmip6.aerosol.key_properties.meteorological_forcings.variables_2D, Aerosol > Key Properties > Meteorological Forcings > Variables 2D, property
cmip6.aerosol.key_properties.meteorological_forcings.frequency, Aerosol > Key Properties > Meteorological Forcings > Frequency, property
cmip6.aerosol.key_properties.resolution.name, Aerosol > Key Properties > Resolution > Name, property
cmip6.aerosol.key_properties.resolution.canonical_horizontal_resolution, Aerosol > Key Properties > Resolution > Canonical Horizontal Resolution, property
cmip6.aerosol.key_properties.resolution.number_of_horizontal_gridpoints, Aerosol > Key Properties > Resolution > Number Of Horizontal Gridpoints, property
cmip6.aerosol.key_properties.resolution.number_of_vertical_levels, Aerosol > Key Properties > Resolution > Number Of Vertical Levels, property
cmip6.aerosol.key_properties.resolution.is_adaptive_grid, Aerosol > Key Properties > Resolution > Is Adaptive Grid, property
cmip6.aerosol.key_properties.tuning_applied.description, Aerosol > Key Properties > Tuning Applied > Description, property
cmip6.aerosol.key_properties.tuning_applied.global_mean_metrics_used, Aerosol > Key Properties > Tuning Applied > Global Mean Metrics Used, property
cmip6.aerosol.key_properties.tuning_applied.regional_metrics_used, Aerosol > Key Properties > Tuning Applied > Regional Metrics Used, property
cmip6.aerosol.key_properties.tuning_applied.trend_metrics_used, Aerosol > Key Properties > Tuning Applied > Trend Metrics Used, property
, , 
cmip6.aerosol.grid.name, Aerosol > Grid > Name, property
cmip6.aerosol.grid.overview, Aerosol > Grid > Overview, property
cmip6.aerosol.grid.matches_atmosphere_grid, Aerosol > Grid > Matches Atmosphere Grid, property
