cmip6-id, cmip6-label, cmip6-type
cmip6.atmos, Atmos, realm
, , 
cmip6.atmos.key_properties, Atmos > Key Properties, keyprops
cmip6.atmos.key_properties.resolution, Atmos > Key Properties > Resolution, subprocess
cmip6.atmos.key_properties.orography, Atmos > Key Properties > Orography, subprocess
, , 
cmip6.atmos.grid, Atmos > Grid, grid
cmip6.atmos.grid.discretisation, Atmos > Grid > Discretisation, subprocess
, , 
cmip6.atmos.dynamical_core, Atmos > Dynamical Core, process
cmip6.atmos.dynamical_core.top_boundary, Atmos > Dynamical Core > Top Boundary, subprocess
cmip6.atmos.dynamical_core.lateral_boundary, Atmos > Dynamical Core > Lateral Boundary, subprocess
cmip6.atmos.dynamical_core.diffusion_horizontal, Atmos > Dynamical Core > Diffusion Horizontal, subprocess
cmip6.atmos.dynamical_core.advection_tracers, Atmos > Dynamical Core > Advection Tracers, subprocess
cmip6.atmos.dynamical_core.advection_momentum, Atmos > Dynamical Core > Advection Momentum, subprocess
, , 
cmip6.atmos.radiation, Atmos > Radiation, process
cmip6.atmos.radiation.shortwave_radiation, Atmos > Radiation > Shortwave Radiation, subprocess
cmip6.atmos.radiation.sw_cloud_ice, Atmos > Radiation > Sw Cloud Ice, subprocess
cmip6.atmos.radiation.sw_cloud_liquid, Atmos > Radiation > Sw Cloud Liquid, subprocess
cmip6.atmos.radiation.sw_aerosols, Atmos > Radiation > Sw Aerosols, subprocess
cmip6.atmos.radiation.sw_gases, Atmos > Radiation > Sw Gases, subprocess
cmip6.atmos.radiation.longwave_radiation, Atmos > Radiation > Longwave Radiation, subprocess
cmip6.atmos.radiation.lw_cloud_ice, Atmos > Radiation > Lw Cloud Ice, subprocess
cmip6.atmos.radiation.lw_cloud_liquid, Atmos > Radiation > Lw Cloud Liquid, subprocess
cmip6.atmos.radiation.lw_aerosols, Atmos > Radiation > Lw Aerosols, subprocess
cmip6.atmos.radiation.lw_gases, Atmos > Radiation > Lw Gases, subprocess
, , 
cmip6.atmos.turbulence_convection, Atmos > Turbulence Convection, process
cmip6.atmos.turbulence_convection.boundary_layer_turbulence, Atmos > Turbulence Convection > Boundary Layer Turbulence, subprocess
cmip6.atmos.turbulence_convection.deep_convection, Atmos > Turbulence Convection > Deep Convection, subprocess
cmip6.atmos.turbulence_convection.shallow_convection, Atmos > Turbulence Convection > Shallow Convection, subprocess
, , 
cmip6.atmos.microphysics_precipitation, Atmos > Microphysics Precipitation, process
cmip6.atmos.microphysics_precipitation.large_scale_precipitation, Atmos > Microphysics Precipitation > Large Scale Precipitation, subprocess
cmip6.atmos.microphysics_precipitation.cloud_microphysics, Atmos > Microphysics Precipitation > Cloud Microphysics, subprocess
, , 
cmip6.atmos.cloud_scheme, Atmos > Cloud Scheme, process
cmip6.atmos.cloud_scheme.sub_grid_scale_water_distribution, Atmos > Cloud Scheme > Sub Grid Scale Water Distribution, subprocess
, , 
cmip6.atmos.cloud_simulator, Atmos > Cloud Simulator, process
cmip6.atmos.cloud_simulator.isscp_attributes, Atmos > Cloud Simulator > Isscp Attributes, subprocess
cmip6.atmos.cloud_simulator.cosp_attributes, Atmos > Cloud Simulator > Cosp Attributes, subprocess
cmip6.atmos.cloud_simulator.radar_inputs, Atmos > Cloud Simulator > Radar Inputs, subprocess
cmip6.atmos.cloud_simulator.lidar_inputs, Atmos > Cloud Simulator > Lidar Inputs, subprocess
, , 
cmip6.atmos.gravity_waves, Atmos > Gravity Waves, process
cmip6.atmos.gravity_waves.orographic_gravity_waves, Atmos > Gravity Waves > Orographic Gravity Waves, subprocess
cmip6.atmos.gravity_waves.non_orographic_gravity_waves, Atmos > Gravity Waves > Non Orographic Gravity Waves, subprocess
, , 
cmip6.atmos.solar, Atmos > Solar, process
cmip6.atmos.solar.solar_pathways, Atmos > Solar > Solar Pathways, subprocess
cmip6.atmos.solar.solar_constant, Atmos > Solar > Solar Constant, subprocess
cmip6.atmos.solar.orbital_parameters, Atmos > Solar > Orbital Parameters, subprocess
cmip6.atmos.solar.insolation_ozone, Atmos > Solar > Insolation Ozone, subprocess
, , 
cmip6.atmos.volcanos, Atmos > Volcanos, process
cmip6.atmos.volcanos.volcanoes_treatment, Atmos > Volcanos > Volcanoes Treatment, subprocess
