cmip6-id, cmip6-label, cmip6-type
cmip6.atmos.key_properties.overview.model_overview, Atmos > Key Properties > Overview > Model Overview, property
cmip6.atmos.key_properties.overview.model_name, Atmos > Key Properties > Overview > Model Name, property
cmip6.atmos.key_properties.overview.model_family, Atmos > Key Properties > Overview > Model Family, property
cmip6.atmos.key_properties.overview.basic_approximations, Atmos > Key Properties > Overview > Basic Approximations, property
cmip6.atmos.key_properties.resolution.horizontal_resolution_name, Atmos > Key Properties > Resolution > Horizontal Resolution Name, property
cmip6.atmos.key_properties.resolution.canonical_horizontal_resolution, Atmos > Key Properties > Resolution > Canonical Horizontal Resolution, property
cmip6.atmos.key_properties.resolution.range_horizontal_resolution, Atmos > Key Properties > Resolution > Range Horizontal Resolution, property
cmip6.atmos.key_properties.resolution.number_of_vertical_levels, Atmos > Key Properties > Resolution > Number Of Vertical Levels, property
cmip6.atmos.key_properties.resolution.high_top, Atmos > Key Properties > Resolution > High Top, property
cmip6.atmos.key_properties.timestepping.timestep_dynamics, Atmos > Key Properties > Timestepping > Timestep Dynamics, property
cmip6.atmos.key_properties.timestepping.timestep_shortwave_radiative_transfer, Atmos > Key Properties > Timestepping > Timestep Shortwave Radiative Transfer, property
cmip6.atmos.key_properties.timestepping.timestep_longwave_radiative_transfer, Atmos > Key Properties > Timestepping > Timestep Longwave Radiative Transfer, property
cmip6.atmos.key_properties.orography.type, Atmos > Key Properties > Orography > Type, property
cmip6.atmos.key_properties.orography.changes, Atmos > Key Properties > Orography > Changes, property
, , 
cmip6.atmos.grid.discretisation.overview, Atmos > Grid > Discretisation > Overview, property
cmip6.atmos.grid.discretisation.horizontal.scheme_type, Atmos > Grid > Discretisation > Horizontal > Scheme Type, property
cmip6.atmos.grid.discretisation.horizontal.scheme_method, Atmos > Grid > Discretisation > Horizontal > Scheme Method, property
cmip6.atmos.grid.discretisation.horizontal.scheme_order, Atmos > Grid > Discretisation > Horizontal > Scheme Order, property
cmip6.atmos.grid.discretisation.horizontal.horizontal_pole, Atmos > Grid > Discretisation > Horizontal > Horizontal Pole, property
cmip6.atmos.grid.discretisation.horizontal.grid_type, Atmos > Grid > Discretisation > Horizontal > Grid Type, property
cmip6.atmos.grid.discretisation.vertical.coordinate_type, Atmos > Grid > Discretisation > Vertical > Coordinate Type, property
, , 
cmip6.atmos.dynamical_core.overview, Atmos > Dynamical Core > Overview, property
cmip6.atmos.dynamical_core.name, Atmos > Dynamical Core > Name, property
cmip6.atmos.dynamical_core.timestepping_type, Atmos > Dynamical Core > Timestepping Type, property
cmip6.atmos.dynamical_core.prognostic_variables, Atmos > Dynamical Core > Prognostic Variables, property
cmip6.atmos.dynamical_core.top_boundary.top_boundary_condition, Atmos > Dynamical Core > Top Boundary > Top Boundary Condition, property
cmip6.atmos.dynamical_core.top_boundary.top_heat, Atmos > Dynamical Core > Top Boundary > Top Heat, property
cmip6.atmos.dynamical_core.top_boundary.top_wind, Atmos > Dynamical Core > Top Boundary > Top Wind, property
cmip6.atmos.dynamical_core.lateral_boundary.condition, Atmos > Dynamical Core > Lateral Boundary > Condition, property
cmip6.atmos.dynamical_core.diffusion_horizontal.scheme_name, Atmos > Dynamical Core > Diffusion Horizontal > Scheme Name, property
cmip6.atmos.dynamical_core.diffusion_horizontal.scheme_method, Atmos > Dynamical Core > Diffusion Horizontal > Scheme Method, property
cmip6.atmos.dynamical_core.advection_tracers.scheme_name, Atmos > Dynamical Core > Advection Tracers > Scheme Name, property
cmip6.atmos.dynamical_core.advection_tracers.scheme_characteristics, Atmos > Dynamical Core > Advection Tracers > Scheme Characteristics, property
cmip6.atmos.dynamical_core.advection_tracers.conserved_quantities, Atmos > Dynamical Core > Advection Tracers > Conserved Quantities, property
cmip6.atmos.dynamical_core.advection_tracers.conservation_method, Atmos > Dynamical Core > Advection Tracers > Conservation Method, property
cmip6.atmos.dynamical_core.advection_momentum.scheme_name, Atmos > Dynamical Core > Advection Momentum > Scheme Name, property
cmip6.atmos.dynamical_core.advection_momentum.scheme_characteristics, Atmos > Dynamical Core > Advection Momentum > Scheme Characteristics, property
cmip6.atmos.dynamical_core.advection_momentum.scheme_staggering_type, Atmos > Dynamical Core > Advection Momentum > Scheme Staggering Type, property
cmip6.atmos.dynamical_core.advection_momentum.conserved_quantities, Atmos > Dynamical Core > Advection Momentum > Conserved Quantities, property
cmip6.atmos.dynamical_core.advection_momentum.conservation_method, Atmos > Dynamical Core > Advection Momentum > Conservation Method, property
, , 
cmip6.atmos.radiation.aerosols, Atmos > Radiation > Aerosols, property
cmip6.atmos.radiation.shortwave_radiation.overview, Atmos > Radiation > Shortwave Radiation > Overview, property
cmip6.atmos.radiation.shortwave_radiation.name, Atmos > Radiation > Shortwave Radiation > Name, property
cmip6.atmos.radiation.shortwave_radiation.spectral_integration, Atmos > Radiation > Shortwave Radiation > Spectral Integration, property
cmip6.atmos.radiation.shortwave_radiation.transport_calculation, Atmos > Radiation > Shortwave Radiation > Transport Calculation, property
cmip6.atmos.radiation.shortwave_radiation.spectral_intervals, Atmos > Radiation > Shortwave Radiation > Spectral Intervals, property
cmip6.atmos.radiation.shortwave_GHG.greenhouse_gas_complexity, Atmos > Radiation > Shortwave GHG > Greenhouse Gas Complexity, property
cmip6.atmos.radiation.shortwave_GHG.ODS, Atmos > Radiation > Shortwave GHG > ODS, property
cmip6.atmos.radiation.shortwave_GHG.other_flourinated_gases, Atmos > Radiation > Shortwave GHG > Other Flourinated Gases, property
cmip6.atmos.radiation.shortwave_cloud_ice.general_interactions, Atmos > Radiation > Shortwave Cloud Ice > General Interactions, property
cmip6.atmos.radiation.shortwave_cloud_ice.physical_representation, Atmos > Radiation > Shortwave Cloud Ice > Physical Representation, property
cmip6.atmos.radiation.shortwave_cloud_ice.optical_methods, Atmos > Radiation > Shortwave Cloud Ice > Optical Methods, property
cmip6.atmos.radiation.shortwave_cloud_liquid.general_interactions, Atmos > Radiation > Shortwave Cloud Liquid > General Interactions, property
cmip6.atmos.radiation.shortwave_cloud_liquid.physical_representation, Atmos > Radiation > Shortwave Cloud Liquid > Physical Representation, property
cmip6.atmos.radiation.shortwave_cloud_liquid.optical_methods, Atmos > Radiation > Shortwave Cloud Liquid > Optical Methods, property
cmip6.atmos.radiation.shortwave_cloud_inhomogeneity.cloud_inhomogeneity, Atmos > Radiation > Shortwave Cloud Inhomogeneity > Cloud Inhomogeneity, property
cmip6.atmos.radiation.shortwave_aerosols.general_interactions, Atmos > Radiation > Shortwave Aerosols > General Interactions, property
cmip6.atmos.radiation.shortwave_aerosols.physical_representation, Atmos > Radiation > Shortwave Aerosols > Physical Representation, property
cmip6.atmos.radiation.shortwave_aerosols.optical_methods, Atmos > Radiation > Shortwave Aerosols > Optical Methods, property
cmip6.atmos.radiation.shortwave_gases.general_interactions, Atmos > Radiation > Shortwave Gases > General Interactions, property
cmip6.atmos.radiation.longwave_radiation.overview, Atmos > Radiation > Longwave Radiation > Overview, property
cmip6.atmos.radiation.longwave_radiation.name, Atmos > Radiation > Longwave Radiation > Name, property
cmip6.atmos.radiation.longwave_radiation.spectral_integration, Atmos > Radiation > Longwave Radiation > Spectral Integration, property
cmip6.atmos.radiation.longwave_radiation.transport_calculation, Atmos > Radiation > Longwave Radiation > Transport Calculation, property
cmip6.atmos.radiation.longwave_radiation.spectral_intervals, Atmos > Radiation > Longwave Radiation > Spectral Intervals, property
cmip6.atmos.radiation.longwave_GHG.greenhouse_gas_complexity, Atmos > Radiation > Longwave GHG > Greenhouse Gas Complexity, property
cmip6.atmos.radiation.longwave_GHG.ODS, Atmos > Radiation > Longwave GHG > ODS, property
cmip6.atmos.radiation.longwave_GHG.other_flourinated_gases, Atmos > Radiation > Longwave GHG > Other Flourinated Gases, property
cmip6.atmos.radiation.longwave_cloud_ice.general_interactions, Atmos > Radiation > Longwave Cloud Ice > General Interactions, property
cmip6.atmos.radiation.longwave_cloud_ice.physical_reprenstation, Atmos > Radiation > Longwave Cloud Ice > Physical Reprenstation, property
cmip6.atmos.radiation.longwave_cloud_ice.optical_methods, Atmos > Radiation > Longwave Cloud Ice > Optical Methods, property
cmip6.atmos.radiation.longwave_cloud_liquid.general_interactions, Atmos > Radiation > Longwave Cloud Liquid > General Interactions, property
cmip6.atmos.radiation.longwave_cloud_liquid.physical_representation, Atmos > Radiation > Longwave Cloud Liquid > Physical Representation, property
cmip6.atmos.radiation.longwave_cloud_liquid.optical_methods, Atmos > Radiation > Longwave Cloud Liquid > Optical Methods, property
cmip6.atmos.radiation.longwave_cloud_inhomogeneity.cloud_inhomogeneity, Atmos > Radiation > Longwave Cloud Inhomogeneity > Cloud Inhomogeneity, property
cmip6.atmos.radiation.longwave_aerosols.general_interactions, Atmos > Radiation > Longwave Aerosols > General Interactions, property
cmip6.atmos.radiation.longwave_aerosols.physical_representation, Atmos > Radiation > Longwave Aerosols > Physical Representation, property
cmip6.atmos.radiation.longwave_aerosols.optical_methods, Atmos > Radiation > Longwave Aerosols > Optical Methods, property
cmip6.atmos.radiation.longwave_gases.general_interactions, Atmos > Radiation > Longwave Gases > General Interactions, property
, , 
cmip6.atmos.turbulence_convection.overview, Atmos > Turbulence Convection > Overview, property
cmip6.atmos.turbulence_convection.boundary_layer_turbulence.scheme_name, Atmos > Turbulence Convection > Boundary Layer Turbulence > Scheme Name, property
cmip6.atmos.turbulence_convection.boundary_layer_turbulence.scheme_type, Atmos > Turbulence Convection > Boundary Layer Turbulence > Scheme Type, property
cmip6.atmos.turbulence_convection.boundary_layer_turbulence.closure_order, Atmos > Turbulence Convection > Boundary Layer Turbulence > Closure Order, property
cmip6.atmos.turbulence_convection.boundary_layer_turbulence.counter_gradient, Atmos > Turbulence Convection > Boundary Layer Turbulence > Counter Gradient, property
cmip6.atmos.turbulence_convection.deep_convection.scheme_name, Atmos > Turbulence Convection > Deep Convection > Scheme Name, property
cmip6.atmos.turbulence_convection.deep_convection.scheme_type, Atmos > Turbulence Convection > Deep Convection > Scheme Type, property
cmip6.atmos.turbulence_convection.deep_convection.scheme_method, Atmos > Turbulence Convection > Deep Convection > Scheme Method, property
