cmip6-id, cmip6-label, cmip6-type
cmip6.atmoschem, Atmoschem, realm
, , 
cmip6.atmoschem.key_properties, Atmoschem > Key Properties, keyprops
cmip6.atmoschem.key_properties.timestep_framework, Atmoschem > Key Properties > Timestep Framework, subprocess
cmip6.atmoschem.key_properties.meteorological_forcings, Atmoschem > Key Properties > Meteorological Forcings, subprocess
cmip6.atmoschem.key_properties.resolution, Atmoschem > Key Properties > Resolution, subprocess
cmip6.atmoschem.key_properties.tuning_applied, Atmoschem > Key Properties > Tuning Applied, subprocess
, , 
cmip6.atmoschem.grid, Atmoschem > Grid, grid
, , 
cmip6.atmoschem.transport, Atmoschem > Transport, process
cmip6.atmoschem.transport.turbulence, Atmoschem > Transport > Turbulence, subprocess
, , 
cmip6.atmoschem.emissions_concentrations, Atmoschem > Emissions Concentrations, process
cmip6.atmoschem.emissions_concentrations.surface_emissions, Atmoschem > Emissions Concentrations > Surface Emissions, subprocess
cmip6.atmoschem.emissions_concentrations.atmospheric_emissions, Atmoschem > Emissions Concentrations > Atmospheric Emissions, subprocess
cmip6.atmoschem.emissions_concentrations.concentrations, Atmoschem > Emissions Concentrations > Concentrations, subprocess
, , 
cmip6.atmoschem.gas_phase_chemistry, Atmoschem > Gas Phase Chemistry, process
cmip6.atmoschem.gas_phase_chemistry.dry_deposition, Atmoschem > Gas Phase Chemistry > Dry Deposition, subprocess
cmip6.atmoschem.gas_phase_chemistry.wet_deposition, Atmoschem > Gas Phase Chemistry > Wet Deposition, subprocess
cmip6.atmoschem.gas_phase_chemistry.oxidation, Atmoschem > Gas Phase Chemistry > Oxidation, subprocess
cmip6.atmoschem.gas_phase_chemistry.washout_rainout, Atmoschem > Gas Phase Chemistry > Washout Rainout, subprocess
, , 
cmip6.atmoschem.stratospheric_heterogeneous_chemistry, Atmoschem > Stratospheric Heterogeneous Chemistry, process
cmip6.atmoschem.stratospheric_heterogeneous_chemistry.sedimentation, Atmoschem > Stratospheric Heterogeneous Chemistry > Sedimentation, subprocess
cmip6.atmoschem.stratospheric_heterogeneous_chemistry.coagulation, Atmoschem > Stratospheric Heterogeneous Chemistry > Coagulation, subprocess
, , 
cmip6.atmoschem.tropospheric_heterogeneous_chemistry, Atmoschem > Tropospheric Heterogeneous Chemistry, process
cmip6.atmoschem.tropospheric_heterogeneous_chemistry.dry_deposition, Atmoschem > Tropospheric Heterogeneous Chemistry > Dry Deposition, subprocess
cmip6.atmoschem.tropospheric_heterogeneous_chemistry.wet_deposition, Atmoschem > Tropospheric Heterogeneous Chemistry > Wet Deposition, subprocess
cmip6.atmoschem.tropospheric_heterogeneous_chemistry.washout_rainout, Atmoschem > Tropospheric Heterogeneous Chemistry > Washout Rainout, subprocess
cmip6.atmoschem.tropospheric_heterogeneous_chemistry.coagulation, Atmoschem > Tropospheric Heterogeneous Chemistry > Coagulation, subprocess
, , 
cmip6.atmoschem.photo_chemistry, Atmoschem > Photo Chemistry, process
cmip6.atmoschem.photo_chemistry.photolysis, Atmoschem > Photo Chemistry > Photolysis, subprocess
