cmip6-id, cmip6-label, cmip6-type
cmip6.atmosphere.grid.discretisation.horizontal.scheme_type, Atmosphere > Grid > Discretisation > Horizontal > Scheme Type, property
cmip6.atmosphere.grid.discretisation.horizontal.scheme_method, Atmosphere > Grid > Discretisation > Horizontal > Scheme Method, property
cmip6.atmosphere.grid.discretisation.horizontal.scheme_order, Atmosphere > Grid > Discretisation > Horizontal > Scheme Order, property
cmip6.atmosphere.grid.discretisation.horizontal.horizontal_pole, Atmosphere > Grid > Discretisation > Horizontal > Horizontal Pole, property
, , 
cmip6.atmosphere.key_properties.model_family, Atmosphere > Key Properties > Model Family, property
cmip6.atmosphere.key_properties.basic_approximations, Atmosphere > Key Properties > Basic Approximations, property
cmip6.atmosphere.key_properties.orography.type, Atmosphere > Key Properties > Orography > Type, property
cmip6.atmosphere.key_properties.orography.changes, Atmosphere > Key Properties > Orography > Changes, property
, , 
cmip6.atmosphere.dynamical_core.timestepping_type, Atmosphere > Dynamical Core > Timestepping Type, property
cmip6.atmosphere.dynamical_core.prognostic_variables, Atmosphere > Dynamical Core > Prognostic Variables, property
cmip6.atmosphere.dynamical_core.top_boundary.top_boundary_condition, Atmosphere > Dynamical Core > Top Boundary > Top Boundary Condition, property
cmip6.atmosphere.dynamical_core.top_boundary.top_heat, Atmosphere > Dynamical Core > Top Boundary > Top Heat, property
cmip6.atmosphere.dynamical_core.top_boundary.top_wind, Atmosphere > Dynamical Core > Top Boundary > Top Wind, property
cmip6.atmosphere.dynamical_core.lateral_boundary.condition, Atmosphere > Dynamical Core > Lateral Boundary > Condition, property
cmip6.atmosphere.dynamical_core.diffusion_horizontal.scheme_name, Atmosphere > Dynamical Core > Diffusion Horizontal > Scheme Name, property
cmip6.atmosphere.dynamical_core.diffusion_horizontal.scheme_method, Atmosphere > Dynamical Core > Diffusion Horizontal > Scheme Method, property
cmip6.atmosphere.dynamical_core.advection_tracers.scheme_name, Atmosphere > Dynamical Core > Advection Tracers > Scheme Name, property
cmip6.atmosphere.dynamical_core.advection_tracers.scheme_characteristics, Atmosphere > Dynamical Core > Advection Tracers > Scheme Characteristics, property
cmip6.atmosphere.dynamical_core.advection_tracers.conserved_quantities, Atmosphere > Dynamical Core > Advection Tracers > Conserved Quantities, property
cmip6.atmosphere.dynamical_core.advection_tracers.conservation_method, Atmosphere > Dynamical Core > Advection Tracers > Conservation Method, property
cmip6.atmosphere.dynamical_core.advection_momentum.scheme_name, Atmosphere > Dynamical Core > Advection Momentum > Scheme Name, property
cmip6.atmosphere.dynamical_core.advection_momentum.scheme_characteristics, Atmosphere > Dynamical Core > Advection Momentum > Scheme Characteristics, property
cmip6.atmosphere.dynamical_core.advection_momentum.scheme_staggering_type, Atmosphere > Dynamical Core > Advection Momentum > Scheme Staggering Type, property
cmip6.atmosphere.dynamical_core.advection_momentum.conserved_quantities, Atmosphere > Dynamical Core > Advection Momentum > Conserved Quantities, property
cmip6.atmosphere.dynamical_core.advection_momentum.conservation_method, Atmosphere > Dynamical Core > Advection Momentum > Conservation Method, property
, , 
cmip6.atmosphere.radiation.aerosols, Atmosphere > Radiation > Aerosols, property
cmip6.atmosphere.radiation.greenhouse_gases, Atmosphere > Radiation > Greenhouse Gases, property
cmip6.atmosphere.radiation.cloud_ice, Atmosphere > Radiation > Cloud Ice, property
cmip6.atmosphere.radiation.cloud_liquid, Atmosphere > Radiation > Cloud Liquid, property
cmip6.atmosphere.radiation.longwave_radiation.scheme_type, Atmosphere > Radiation > Longwave Radiation > Scheme Type, property
cmip6.atmosphere.radiation.longwave_radiation.scheme_method, Atmosphere > Radiation > Longwave Radiation > Scheme Method, property
cmip6.atmosphere.radiation.longwave_radiation.spectral_intervals, Atmosphere > Radiation > Longwave Radiation > Spectral Intervals, property
cmip6.atmosphere.radiation.shortwave_radiation.scheme_type, Atmosphere > Radiation > Shortwave Radiation > Scheme Type, property
cmip6.atmosphere.radiation.shortwave_radiation.spectral_intervals, Atmosphere > Radiation > Shortwave Radiation > Spectral Intervals, property
cmip6.atmosphere.radiation.single_scattering_properties.single_scattering, Atmosphere > Radiation > Single Scattering Properties > Single Scattering, property
, , 
cmip6.atmosphere.turbulence_convection.boundary_layer_turbulence.scheme_name, Atmosphere > Turbulence Convection > Boundary Layer Turbulence > Scheme Name, property
cmip6.atmosphere.turbulence_convection.boundary_layer_turbulence.scheme_type, Atmosphere > Turbulence Convection > Boundary Layer Turbulence > Scheme Type, property
cmip6.atmosphere.turbulence_convection.boundary_layer_turbulence.closure_order, Atmosphere > Turbulence Convection > Boundary Layer Turbulence > Closure Order, property
cmip6.atmosphere.turbulence_convection.boundary_layer_turbulence.counter_gradient, Atmosphere > Turbulence Convection > Boundary Layer Turbulence > Counter Gradient, property
cmip6.atmosphere.turbulence_convection.deep_convection.scheme_name, Atmosphere > Turbulence Convection > Deep Convection > Scheme Name, property
cmip6.atmosphere.turbulence_convection.deep_convection.scheme_type, Atmosphere > Turbulence Convection > Deep Convection > Scheme Type, property
cmip6.atmosphere.turbulence_convection.deep_convection.scheme_method, Atmosphere > Turbulence Convection > Deep Convection > Scheme Method, property
cmip6.atmosphere.turbulence_convection.deep_convection.processes, Atmosphere > Turbulence Convection > Deep Convection > Processes, property
cmip6.atmosphere.turbulence_convection.shallow_convection.scheme_method, Atmosphere > Turbulence Convection > Shallow Convection > Scheme Method, property
cmip6.atmosphere.turbulence_convection.shallow_convection.scheme_type, Atmosphere > Turbulence Convection > Shallow Convection > Scheme Type, property
cmip6.atmosphere.turbulence_convection.shallow_convection.scheme_name, Atmosphere > Turbulence Convection > Shallow Convection > Scheme Name, property
cmip6.atmosphere.turbulence_convection.shallow_convection.processes, Atmosphere > Turbulence Convection > Shallow Convection > Processes, property
, , 
cmip6.atmosphere.microphysics_precipitation.large_scale_precipitation.scheme, Atmosphere > Microphysics Precipitation > Large Scale Precipitation > Scheme, property
cmip6.atmosphere.microphysics_precipitation.large_scale_precipitation.hydrometeors, Atmosphere > Microphysics Precipitation > Large Scale Precipitation > Hydrometeors, property
cmip6.atmosphere.microphysics_precipitation.cloud_microphysics.scheme_name, Atmosphere > Microphysics Precipitation > Cloud Microphysics > Scheme Name, property
cmip6.atmosphere.microphysics_precipitation.cloud_microphysics.processes, Atmosphere > Microphysics Precipitation > Cloud Microphysics > Processes, property
, , 
cmip6.atmosphere.cloud_scheme.uses_separate_treatment, Atmosphere > Cloud Scheme > Uses Separate Treatment, property
cmip6.atmosphere.cloud_scheme.cloud_overlap_method, Atmosphere > Cloud Scheme > Cloud Overlap Method, property
cmip6.atmosphere.cloud_scheme.processes, Atmosphere > Cloud Scheme > Processes, property
cmip6.atmosphere.cloud_scheme.sub_grid_scale_water_distribution.type, Atmosphere > Cloud Scheme > Sub Grid Scale Water Distribution > Type, property
cmip6.atmosphere.cloud_scheme.sub_grid_scale_water_distribution.function_name, Atmosphere > Cloud Scheme > Sub Grid Scale Water Distribution > Function Name, property
cmip6.atmosphere.cloud_scheme.sub_grid_scale_water_distribution.function_order, Atmosphere > Cloud Scheme > Sub Grid Scale Water Distribution > Function Order, property
cmip6.atmosphere.cloud_scheme.sub_grid_scale_water_distribution.convection_coupling, Atmosphere > Cloud Scheme > Sub Grid Scale Water Distribution > Convection Coupling, property
, , 
cmip6.atmosphere.cloud_simulator.isscp_attributes.top_height, Atmosphere > Cloud Simulator > Isscp Attributes > Top Height, property
cmip6.atmosphere.cloud_simulator.isscp_attributes.top_height_direction, Atmosphere > Cloud Simulator > Isscp Attributes > Top Height Direction, property
cmip6.atmosphere.cloud_simulator.cosp_attributes.run_configuration, Atmosphere > Cloud Simulator > Cosp Attributes > Run Configuration, property
cmip6.atmosphere.cloud_simulator.cosp_attributes.number_of_grid_points, Atmosphere > Cloud Simulator > Cosp Attributes > Number Of Grid Points, property
cmip6.atmosphere.cloud_simulator.cosp_attributes.number_of_columns, Atmosphere > Cloud Simulator > Cosp Attributes > Number Of Columns, property
cmip6.atmosphere.cloud_simulator.cosp_attributes.number_of_levels, Atmosphere > Cloud Simulator > Cosp Attributes > Number Of Levels, property
cmip6.atmosphere.cloud_simulator.radar_inputs.frequency, Atmosphere > Cloud Simulator > Radar Inputs > Frequency, property
cmip6.atmosphere.cloud_simulator.radar_inputs.type, Atmosphere > Cloud Simulator > Radar Inputs > Type, property
cmip6.atmosphere.cloud_simulator.radar_inputs.gas_absorption, Atmosphere > Cloud Simulator > Radar Inputs > Gas Absorption, property
cmip6.atmosphere.cloud_simulator.radar_inputs.effective_radius, Atmosphere > Cloud Simulator > Radar Inputs > Effective Radius, property
