cmip6-id, cmip6-label, cmip6-type
cmip6.landice.grid.adaptive_grid, Landice > Grid > Adaptive Grid, property
cmip6.landice.grid.base_resolution, Landice > Grid > Base Resolution, property
cmip6.landice.grid.projection, Landice > Grid > Projection, property
, , 
cmip6.landice.key_properties.grounding_line_method, Landice > Key Properties > Grounding Line Method, property
cmip6.landice.key_properties.land_ice_albedo, Landice > Key Properties > Land Ice Albedo, property
cmip6.landice.key_properties.atmospheric_coupling_variables, Landice > Key Properties > Atmospheric Coupling Variables, property
cmip6.landice.key_properties.prognostic_variables, Landice > Key Properties > Prognostic Variables, property
, , 
cmip6.landice.glaciers.dynamic_areal_extent, Landice > Glaciers > Dynamic Areal Extent, property
cmip6.landice.glaciers.mass_balance.calculated_in_atmosphere, Landice > Glaciers > Mass Balance > Calculated In Atmosphere, property
cmip6.landice.glaciers.mass_balance.ablation_calculation, Landice > Glaciers > Mass Balance > Ablation Calculation, property
cmip6.landice.glaciers.mass_balance.downscaling_technique, Landice > Glaciers > Mass Balance > Downscaling Technique, property
cmip6.landice.glaciers.snow_treatment.calculated_in_atmosphere, Landice > Glaciers > Snow Treatment > Calculated In Atmosphere, property
cmip6.landice.glaciers.snow_treatment.number_of_snow_layers, Landice > Glaciers > Snow Treatment > Number Of Snow Layers, property
cmip6.landice.glaciers.snow_treatment.processes, Landice > Glaciers > Snow Treatment > Processes, property
, , 
cmip6.landice.ice_sheet.adaptive_grid, Landice > Ice Sheet > Adaptive Grid, property
cmip6.landice.ice_sheet.resolution_limit, Landice > Ice Sheet > Resolution Limit, property
cmip6.landice.ice_sheet.basal_melting, Landice > Ice Sheet > Basal Melting, property
cmip6.landice.ice_sheet.mass_balance.calculated_in_atmosphere, Landice > Ice Sheet > Mass Balance > Calculated In Atmosphere, property
cmip6.landice.ice_sheet.mass_balance.ablation_calculation, Landice > Ice Sheet > Mass Balance > Ablation Calculation, property
cmip6.landice.ice_sheet.mass_balance.downscaling_technique, Landice > Ice Sheet > Mass Balance > Downscaling Technique, property
cmip6.landice.ice_sheet.dynamics.coupling_wth_atmosphere, Landice > Ice Sheet > Dynamics > Coupling Wth Atmosphere, property
cmip6.landice.ice_sheet.dynamics.model_numerics.timestep, Landice > Ice Sheet > Dynamics > Model Numerics > Timestep, property
cmip6.landice.ice_sheet.dynamics.model_numerics.approximation, Landice > Ice Sheet > Dynamics > Model Numerics > Approximation, property
cmip6.landice.ice_sheet.snow_treatment.calculated_in_atmosphere, Landice > Ice Sheet > Snow Treatment > Calculated In Atmosphere, property
cmip6.landice.ice_sheet.snow_treatment.subgrid_hipsometry, Landice > Ice Sheet > Snow Treatment > Subgrid Hipsometry, property
cmip6.landice.ice_sheet.snow_treatment.number_of_snow_layers, Landice > Ice Sheet > Snow Treatment > Number Of Snow Layers, property
cmip6.landice.ice_sheet.snow_treatment.prognostic_variables, Landice > Ice Sheet > Snow Treatment > Prognostic Variables, property
cmip6.landice.ice_sheet.snow_treatment.processes, Landice > Ice Sheet > Snow Treatment > Processes, property
, , 
cmip6.landice.ice_shelves.adaptive_grid, Landice > Ice Shelves > Adaptive Grid, property
cmip6.landice.ice_shelves.resolution_limit, Landice > Ice Shelves > Resolution Limit, property
cmip6.landice.ice_shelves.basal_melting, Landice > Ice Shelves > Basal Melting, property
cmip6.landice.ice_shelves.mass_balance.calculated_in_atmosphere, Landice > Ice Shelves > Mass Balance > Calculated In Atmosphere, property
cmip6.landice.ice_shelves.mass_balance.ablation_calculation, Landice > Ice Shelves > Mass Balance > Ablation Calculation, property
cmip6.landice.ice_shelves.mass_balance.downscaling_technique, Landice > Ice Shelves > Mass Balance > Downscaling Technique, property
cmip6.landice.ice_shelves.dynamics.coupling_wth_ocean, Landice > Ice Shelves > Dynamics > Coupling Wth Ocean, property
cmip6.landice.ice_shelves.dynamics.model_numerics.timestep, Landice > Ice Shelves > Dynamics > Model Numerics > Timestep, property
cmip6.landice.ice_shelves.dynamics.model_numerics.uses_ocean_timestep, Landice > Ice Shelves > Dynamics > Model Numerics > Uses Ocean Timestep, property
cmip6.landice.ice_shelves.dynamics.model_numerics.uses_land_surface_timestep, Landice > Ice Shelves > Dynamics > Model Numerics > Uses Land Surface Timestep, property
cmip6.landice.ice_shelves.dynamics.model_numerics.approximation, Landice > Ice Shelves > Dynamics > Model Numerics > Approximation, property
cmip6.landice.ice_shelves.snow_treatment.calculated_in_atmosphere, Landice > Ice Shelves > Snow Treatment > Calculated In Atmosphere, property
cmip6.landice.ice_shelves.snow_treatment.subgrid_hipsometry, Landice > Ice Shelves > Snow Treatment > Subgrid Hipsometry, property
cmip6.landice.ice_shelves.snow_treatment.number_of_snow_layers, Landice > Ice Shelves > Snow Treatment > Number Of Snow Layers, property
cmip6.landice.ice_shelves.snow_treatment.prognostic_variables, Landice > Ice Shelves > Snow Treatment > Prognostic Variables, property
cmip6.landice.ice_shelves.snow_treatment.processes, Landice > Ice Shelves > Snow Treatment > Processes, property
, , 
