cmip6-id, cmip6-label, cmip6-type
cmip6.model, Model, model
, , 
cmip6.model.key_properties, Model > Key Properties, keyprops
cmip6.model.key_properties.tuning_applied, Model > Key Properties > Tuning Applied, subprocess
cmip6.model.key_properties.conservation, Model > Key Properties > Conservation, subprocess
, , 
cmip6.model.radiative_forcings, Model > Radiative Forcings, process
cmip6.model.radiative_forcings.greenhouse_gases, Model > Radiative Forcings > Greenhouse Gases, subprocess
cmip6.model.radiative_forcings.aerosols, Model > Radiative Forcings > Aerosols, subprocess
cmip6.model.radiative_forcings.other, Model > Radiative Forcings > Other, subprocess
