cmip6-id, cmip6-label, cmip6-type
cmip6.ocnbgchem.key_properties.name, Ocnbgchem > Key Properties > Name, property
cmip6.ocnbgchem.key_properties.keywords, Ocnbgchem > Key Properties > Keywords, property
cmip6.ocnbgchem.key_properties.overview, Ocnbgchem > Key Properties > Overview, property
cmip6.ocnbgchem.key_properties.model_type, Ocnbgchem > Key Properties > Model Type, property
cmip6.ocnbgchem.key_properties.elemental_stoichiometry, Ocnbgchem > Key Properties > Elemental Stoichiometry, property
cmip6.ocnbgchem.key_properties.elemental_stoichiometry_details, Ocnbgchem > Key Properties > Elemental Stoichiometry Details, property
cmip6.ocnbgchem.key_properties.prognostic_variables, Ocnbgchem > Key Properties > Prognostic Variables, property
cmip6.ocnbgchem.key_properties.diagnostic_variables, Ocnbgchem > Key Properties > Diagnostic Variables, property
cmip6.ocnbgchem.key_properties.damping, Ocnbgchem > Key Properties > Damping, property
cmip6.ocnbgchem.key_properties.time_stepping_framework.overview, Ocnbgchem > Key Properties > Time Stepping Framework > Overview, property
cmip6.ocnbgchem.key_properties.time_stepping_framework.passive_tracers_transport.method, Ocnbgchem > Key Properties > Time Stepping Framework > Passive Tracers Transport > Method, property
cmip6.ocnbgchem.key_properties.time_stepping_framework.passive_tracers_transport.timestep_if_not_from_ocean, Ocnbgchem > Key Properties > Time Stepping Framework > Passive Tracers Transport > Timestep If Not From Ocean, property
cmip6.ocnbgchem.key_properties.time_stepping_framework.biology_sources_sinks.method, Ocnbgchem > Key Properties > Time Stepping Framework > Biology Sources Sinks > Method, property
cmip6.ocnbgchem.key_properties.time_stepping_framework.biology_sources_sinks.timestep_if_not_from_ocean, Ocnbgchem > Key Properties > Time Stepping Framework > Biology Sources Sinks > Timestep If Not From Ocean, property
cmip6.ocnbgchem.key_properties.transport_scheme.overview, Ocnbgchem > Key Properties > Transport Scheme > Overview, property
cmip6.ocnbgchem.key_properties.transport_scheme.type, Ocnbgchem > Key Properties > Transport Scheme > Type, property
cmip6.ocnbgchem.key_properties.transport_scheme.scheme, Ocnbgchem > Key Properties > Transport Scheme > Scheme, property
cmip6.ocnbgchem.key_properties.transport_scheme.use_different_scheme, Ocnbgchem > Key Properties > Transport Scheme > Use Different Scheme, property
cmip6.ocnbgchem.key_properties.boundary_forcing.overview, Ocnbgchem > Key Properties > Boundary Forcing > Overview, property
cmip6.ocnbgchem.key_properties.boundary_forcing.atmospheric_deposition, Ocnbgchem > Key Properties > Boundary Forcing > Atmospheric Deposition, property
cmip6.ocnbgchem.key_properties.boundary_forcing.river_input, Ocnbgchem > Key Properties > Boundary Forcing > River Input, property
cmip6.ocnbgchem.key_properties.boundary_forcing.sediments_from_boundary_conditions, Ocnbgchem > Key Properties > Boundary Forcing > Sediments From Boundary Conditions, property
cmip6.ocnbgchem.key_properties.boundary_forcing.sediments_from_explicit_model, Ocnbgchem > Key Properties > Boundary Forcing > Sediments From Explicit Model, property
cmip6.ocnbgchem.key_properties.gas_exchange.overview, Ocnbgchem > Key Properties > Gas Exchange > Overview, property
cmip6.ocnbgchem.key_properties.gas_exchange.CO2_exchange_present, Ocnbgchem > Key Properties > Gas Exchange > CO2 Exchange Present, property
cmip6.ocnbgchem.key_properties.gas_exchange.CO2_exchange_type, Ocnbgchem > Key Properties > Gas Exchange > CO2 Exchange Type, property
cmip6.ocnbgchem.key_properties.gas_exchange.O2_exchange_present, Ocnbgchem > Key Properties > Gas Exchange > O2 Exchange Present, property
cmip6.ocnbgchem.key_properties.gas_exchange.O2_exchange_type, Ocnbgchem > Key Properties > Gas Exchange > O2 Exchange Type, property
cmip6.ocnbgchem.key_properties.gas_exchange.DMS_exchange_present, Ocnbgchem > Key Properties > Gas Exchange > DMS Exchange Present, property
cmip6.ocnbgchem.key_properties.gas_exchange.DMS_exchange_type, Ocnbgchem > Key Properties > Gas Exchange > DMS Exchange Type, property
cmip6.ocnbgchem.key_properties.gas_exchange.N2_exchange_present, Ocnbgchem > Key Properties > Gas Exchange > N2 Exchange Present, property
cmip6.ocnbgchem.key_properties.gas_exchange.N2_exchange_type, Ocnbgchem > Key Properties > Gas Exchange > N2 Exchange Type, property
cmip6.ocnbgchem.key_properties.gas_exchange.N2O_exchange_present, Ocnbgchem > Key Properties > Gas Exchange > N2O Exchange Present, property
cmip6.ocnbgchem.key_properties.gas_exchange.N2O_exchange_type, Ocnbgchem > Key Properties > Gas Exchange > N2O Exchange Type, property
cmip6.ocnbgchem.key_properties.gas_exchange.CFC11_exchange_present, Ocnbgchem > Key Properties > Gas Exchange > CFC11 Exchange Present, property
cmip6.ocnbgchem.key_properties.gas_exchange.CFC11_exchange_type, Ocnbgchem > Key Properties > Gas Exchange > CFC11 Exchange Type, property
cmip6.ocnbgchem.key_properties.gas_exchange.CFC12_exchange_present, Ocnbgchem > Key Properties > Gas Exchange > CFC12 Exchange Present, property
cmip6.ocnbgchem.key_properties.gas_exchange.CFC12_exchange_type, Ocnbgchem > Key Properties > Gas Exchange > CFC12 Exchange Type, property
cmip6.ocnbgchem.key_properties.gas_exchange.SF6_exchange_present, Ocnbgchem > Key Properties > Gas Exchange > SF6 Exchange Present, property
cmip6.ocnbgchem.key_properties.gas_exchange.SF6_exchange_type, Ocnbgchem > Key Properties > Gas Exchange > SF6 Exchange Type, property
cmip6.ocnbgchem.key_properties.gas_exchange.13CO2_exchange_present, Ocnbgchem > Key Properties > Gas Exchange > 13CO2 Exchange Present, property
cmip6.ocnbgchem.key_properties.gas_exchange.13CO2_exchange_type, Ocnbgchem > Key Properties > Gas Exchange > 13CO2 Exchange Type, property
cmip6.ocnbgchem.key_properties.gas_exchange.14CO2_exchange_present, Ocnbgchem > Key Properties > Gas Exchange > 14CO2 Exchange Present, property
cmip6.ocnbgchem.key_properties.gas_exchange.14CO2_exchange_type, Ocnbgchem > Key Properties > Gas Exchange > 14CO2 Exchange Type, property
cmip6.ocnbgchem.key_properties.gas_exchange.other_gases, Ocnbgchem > Key Properties > Gas Exchange > Other Gases, property
cmip6.ocnbgchem.key_properties.carbon_chemistry.overview, Ocnbgchem > Key Properties > Carbon Chemistry > Overview, property
cmip6.ocnbgchem.key_properties.carbon_chemistry.type, Ocnbgchem > Key Properties > Carbon Chemistry > Type, property
cmip6.ocnbgchem.key_properties.carbon_chemistry.ph_scale, Ocnbgchem > Key Properties > Carbon Chemistry > Ph Scale, property
cmip6.ocnbgchem.key_properties.carbon_chemistry.constants_if_not_OMIP, Ocnbgchem > Key Properties > Carbon Chemistry > Constants If Not OMIP, property
cmip6.ocnbgchem.key_properties.tuning_applied.overview, Ocnbgchem > Key Properties > Tuning Applied > Overview, property
cmip6.ocnbgchem.key_properties.tuning_applied.description, Ocnbgchem > Key Properties > Tuning Applied > Description, property
cmip6.ocnbgchem.key_properties.tuning_applied.global_mean_metrics_used, Ocnbgchem > Key Properties > Tuning Applied > Global Mean Metrics Used, property
cmip6.ocnbgchem.key_properties.tuning_applied.regional_metrics_used, Ocnbgchem > Key Properties > Tuning Applied > Regional Metrics Used, property
cmip6.ocnbgchem.key_properties.tuning_applied.trend_metrics_used, Ocnbgchem > Key Properties > Tuning Applied > Trend Metrics Used, property
, , 
cmip6.ocnbgchem.tracers.name, Ocnbgchem > Tracers > Name, property
cmip6.ocnbgchem.tracers.overview, Ocnbgchem > Tracers > Overview, property
cmip6.ocnbgchem.tracers.sulfur_cycle_present, Ocnbgchem > Tracers > Sulfur Cycle Present, property
cmip6.ocnbgchem.tracers.nutrients_present, Ocnbgchem > Tracers > Nutrients Present, property
cmip6.ocnbgchem.tracers.nitrous_species_if_N, Ocnbgchem > Tracers > Nitrous Species If N, property
cmip6.ocnbgchem.tracers.nitrous_processes_if_N, Ocnbgchem > Tracers > Nitrous Processes If N, property
cmip6.ocnbgchem.tracers.ecosystem.overview, Ocnbgchem > Tracers > Ecosystem > Overview, property
cmip6.ocnbgchem.tracers.ecosystem.upper_trophic_levels_definition, Ocnbgchem > Tracers > Ecosystem > Upper Trophic Levels Definition, property
cmip6.ocnbgchem.tracers.ecosystem.upper_trophic_levels_treatment, Ocnbgchem > Tracers > Ecosystem > Upper Trophic Levels Treatment, property
cmip6.ocnbgchem.tracers.ecosystem.phytoplankton.type, Ocnbgchem > Tracers > Ecosystem > Phytoplankton > Type, property
cmip6.ocnbgchem.tracers.ecosystem.phytoplankton.pft, Ocnbgchem > Tracers > Ecosystem > Phytoplankton > Pft, property
cmip6.ocnbgchem.tracers.ecosystem.phytoplankton.size_classes, Ocnbgchem > Tracers > Ecosystem > Phytoplankton > Size Classes, property
cmip6.ocnbgchem.tracers.ecosystem.zooplankton.type, Ocnbgchem > Tracers > Ecosystem > Zooplankton > Type, property
cmip6.ocnbgchem.tracers.ecosystem.zooplankton.size_classes, Ocnbgchem > Tracers > Ecosystem > Zooplankton > Size Classes, property
cmip6.ocnbgchem.tracers.disolved_organic_matter.overview, Ocnbgchem > Tracers > Disolved Organic Matter > Overview, property
cmip6.ocnbgchem.tracers.disolved_organic_matter.bacteria_present, Ocnbgchem > Tracers > Disolved Organic Matter > Bacteria Present, property
cmip6.ocnbgchem.tracers.disolved_organic_matter.lability, Ocnbgchem > Tracers > Disolved Organic Matter > Lability, property
cmip6.ocnbgchem.tracers.particules.overview, Ocnbgchem > Tracers > Particules > Overview, property
cmip6.ocnbgchem.tracers.particules.method, Ocnbgchem > Tracers > Particules > Method, property
cmip6.ocnbgchem.tracers.particules.types_if_prognostic, Ocnbgchem > Tracers > Particules > Types If Prognostic, property
cmip6.ocnbgchem.tracers.particules.size_if_prognostic, Ocnbgchem > Tracers > Particules > Size If Prognostic, property
cmip6.ocnbgchem.tracers.particules.size_if_discrete, Ocnbgchem > Tracers > Particules > Size If Discrete, property
cmip6.ocnbgchem.tracers.particules.sinking_speed_if_prognostic, Ocnbgchem > Tracers > Particules > Sinking Speed If Prognostic, property
cmip6.ocnbgchem.tracers.dic_alkalinity.overview, Ocnbgchem > Tracers > Dic Alkalinity > Overview, property
cmip6.ocnbgchem.tracers.dic_alkalinity.carbon_isotopes, Ocnbgchem > Tracers > Dic Alkalinity > Carbon Isotopes, property
cmip6.ocnbgchem.tracers.dic_alkalinity.abiotic_carbon, Ocnbgchem > Tracers > Dic Alkalinity > Abiotic Carbon, property
cmip6.ocnbgchem.tracers.dic_alkalinity.alkalinity, Ocnbgchem > Tracers > Dic Alkalinity > Alkalinity, property
, , 
