cmip6-id, cmip6-label, cmip6-type
cmip6.toplevel, Toplevel, realm
, , 
cmip6.toplevel.key_properties, Toplevel > Key Properties, keyprops
cmip6.toplevel.key_properties.tuning_applied, Toplevel > Key Properties > Tuning Applied, subprocess
cmip6.toplevel.key_properties.conservation, Toplevel > Key Properties > Conservation, subprocess
, , 
cmip6.toplevel.radiative_forcings, Toplevel > Radiative Forcings, process
cmip6.toplevel.radiative_forcings.greenhouse_gases, Toplevel > Radiative Forcings > Greenhouse Gases, subprocess
cmip6.toplevel.radiative_forcings.aerosols, Toplevel > Radiative Forcings > Aerosols, subprocess
cmip6.toplevel.radiative_forcings.other, Toplevel > Radiative Forcings > Other, subprocess
