cmip6-label (long), cmip6-id, cmip6-type
Ocean > Advection > Lat Tra Adv Scheme > Details, cmip6.ocean.advection.lat_tra_adv_scheme.details, detail
Ocean > Advection > Momemtum Adv Scheme > Details, cmip6.ocean.advection.momemtum_adv_scheme.details, detail
Ocean > Advection > Vert Tra Adv Scheme > Details, cmip6.ocean.advection.vert_tra_adv_scheme.details, detail
Ocean > Boundary Forcing > Boundary Forcing Details, cmip6.ocean.boundary_forcing.boundary_forcing_details, detail
Ocean > Boundary Forcing > Momentum > Bottom Friction, cmip6.ocean.boundary_forcing.momentum.bottom_friction, detail
Ocean > Boundary Forcing > Momentum > Lateral Friction, cmip6.ocean.boundary_forcing.momentum.lateral_friction, detail
Ocean > Boundary Forcing > Tracers > Sunlight Penetration, cmip6.ocean.boundary_forcing.tracers.sunlight_penetration, detail
Ocean > Boundary Forcing > Tracers > Surface Salinity Atmos, cmip6.ocean.boundary_forcing.tracers.surface_salinity_atmos, detail
Ocean > Boundary Forcing > Tracers > Surface Salinity Seaice, cmip6.ocean.boundary_forcing.tracers.surface_salinity_seaice, detail
Ocean > Grid > Discretisation, cmip6.ocean.grid.discretisation, grid-discretisation
Ocean > Grid > Horizontal Grid, cmip6.ocean.grid.horizontal_grid, detail
Ocean > Grid > Vertical Grid, cmip6.ocean.grid.vertical_grid, detail
Ocean > Key Properties > Bathymetry, cmip6.ocean.key_properties.bathymetry, detail
Ocean > Key Properties > Conservation, cmip6.ocean.key_properties.conservation, key-properties-conservation
Ocean > Key Properties > General, cmip6.ocean.key_properties.general, detail
Ocean > Key Properties > Seawater Properties, cmip6.ocean.key_properties.seawater_properties, detail
Ocean > Lateral Physics > Momentum > Eddy Viscosity Coeff, cmip6.ocean.lateral_physics.momentum.eddy_viscosity_coeff, detail
Ocean > Lateral Physics > Momentum > Operator, cmip6.ocean.lateral_physics.momentum.operator, detail
Ocean > Lateral Physics > Ocean Transient Eddy Representation, cmip6.ocean.lateral_physics.ocean_transient_eddy_representation, detail
Ocean > Lateral Physics > Tracers > Details, cmip6.ocean.lateral_physics.tracers.details, detail
Ocean > Lateral Physics > Tracers > Eddy Induced Velocity, cmip6.ocean.lateral_physics.tracers.eddy_induced_velocity, detail
Ocean > Lateral Physics > Tracers > Eddy Viscosity Coeff, cmip6.ocean.lateral_physics.tracers.eddy_viscosity_coeff, detail
Ocean > Lateral Physics > Tracers > Operator, cmip6.ocean.lateral_physics.tracers.operator, detail
Ocean > Timestepping Framework > Timestepping Attributes, cmip6.ocean.timestepping_framework.timestepping_attributes, detail
Ocean > Uplow Boundaries > Bottom Boundary Layer, cmip6.ocean.uplow_boundaries.bottom_boundary_layer, detail
Ocean > Uplow Boundaries > Free Surface, cmip6.ocean.uplow_boundaries.free_surface, detail
Ocean > Vertical Physics > Boundary Layer Mixing > Momentum, cmip6.ocean.vertical_physics.boundary_layer_mixing.momentum, detail
Ocean > Vertical Physics > Boundary Layer Mixing > Tracers, cmip6.ocean.vertical_physics.boundary_layer_mixing.tracers, detail
Ocean > Vertical Physics > Interior Mixing > Momentum, cmip6.ocean.vertical_physics.interior_mixing.momentum, detail
Ocean > Vertical Physics > Interior Mixing > Tracers, cmip6.ocean.vertical_physics.interior_mixing.tracers, detail
Ocean > Vertical Physics > Vertical Physics Details, cmip6.ocean.vertical_physics.vertical_physics_details, detail
