cmip6-id, cmip6-label, cmip6-type
cmip6.ocean.grid.horizontal_grid.horizontal_grid_type, Ocean > Grid > Horizontal Grid > Horizontal Grid Type, detail-property
cmip6.ocean.grid.horizontal_grid.number_of_xy_gridpoints, Ocean > Grid > Horizontal Grid > Number Of Xy Gridpoints, detail-property
cmip6.ocean.grid.vertical_grid.number_of_levels, Ocean > Grid > Vertical Grid > Number Of Levels, detail-property
cmip6.ocean.grid.discretisation.horizontal.pole_singularity_treatment, Ocean > Grid > Discretisation > Horizontal > Pole Singularity Treatment, detail-property
cmip6.ocean.grid.discretisation.horizontal.scheme, Ocean > Grid > Discretisation > Horizontal > Scheme, detail-property
cmip6.ocean.grid.discretisation.vertical.coordinates, Ocean > Grid > Discretisation > Vertical > Coordinates, detail-property
cmip6.ocean.grid.discretisation.vertical.partial_steps, Ocean > Grid > Discretisation > Vertical > Partial Steps, detail-property
, , 
cmip6.ocean.key_properties.bathymetry.bathymetry_reference_dates, Ocean > Key Properties > Bathymetry > Bathymetry Reference Dates, detail-property
cmip6.ocean.key_properties.bathymetry.ocean_bathymetry_source, Ocean > Key Properties > Bathymetry > Ocean Bathymetry Source, detail-property
cmip6.ocean.key_properties.bathymetry.ocean_bathymetry_type, Ocean > Key Properties > Bathymetry > Ocean Bathymetry Type, detail-property
cmip6.ocean.key_properties.bathymetry.ocean_smoothing, Ocean > Key Properties > Bathymetry > Ocean Smoothing, detail-property
cmip6.ocean.key_properties.general.basic_approximations, Ocean > Key Properties > General > Basic Approximations, detail-property
cmip6.ocean.key_properties.general.model_family, Ocean > Key Properties > General > Model Family, detail-property
cmip6.ocean.key_properties.general.prognostic_variables, Ocean > Key Properties > General > Prognostic Variables, detail-property
cmip6.ocean.key_properties.seawater_properties.ocean_freezing_point, Ocean > Key Properties > Seawater Properties > Ocean Freezing Point, detail-property
cmip6.ocean.key_properties.seawater_properties.ocean_specific_heat, Ocean > Key Properties > Seawater Properties > Ocean Specific Heat, detail-property
cmip6.ocean.key_properties.seawater_properties.seawater_eos_type, Ocean > Key Properties > Seawater Properties > Seawater Eos Type, detail-property
cmip6.ocean.key_properties.conservation.details.method, Ocean > Key Properties > Conservation > Details > Method, detail-property
cmip6.ocean.key_properties.conservation.details.scheme, Ocean > Key Properties > Conservation > Details > Scheme, detail-property
, , 
cmip6.ocean.advection.lat_tra_adv_scheme.details.flux_limiter, Ocean > Advection > Lat Tra Adv Scheme > Details > Flux Limiter, detail-property
cmip6.ocean.advection.lat_tra_adv_scheme.details.type, Ocean > Advection > Lat Tra Adv Scheme > Details > Type, detail-property
cmip6.ocean.advection.momemtum_adv_scheme.details.mom_adv_ALE, Ocean > Advection > Momemtum Adv Scheme > Details > Mom Adv ALE, detail-property
cmip6.ocean.advection.momemtum_adv_scheme.details.mom_adv_scheme_name, Ocean > Advection > Momemtum Adv Scheme > Details > Mom Adv Scheme Name, detail-property
cmip6.ocean.advection.momemtum_adv_scheme.details.type, Ocean > Advection > Momemtum Adv Scheme > Details > Type, detail-property
cmip6.ocean.advection.vert_tra_adv_scheme.details.flux_limiter, Ocean > Advection > Vert Tra Adv Scheme > Details > Flux Limiter, detail-property
cmip6.ocean.advection.vert_tra_adv_scheme.details.type, Ocean > Advection > Vert Tra Adv Scheme > Details > Type, detail-property
, , 
cmip6.ocean.boundary_forcing.boundary_forcing_details.geothermal_heating, Ocean > Boundary Forcing > Boundary Forcing Details > Geothermal Heating, detail-property
cmip6.ocean.boundary_forcing.boundary_forcing_details.momentum_flux_correction, Ocean > Boundary Forcing > Boundary Forcing Details > Momentum Flux Correction, detail-property
cmip6.ocean.boundary_forcing.boundary_forcing_details.river_runoff_budget, Ocean > Boundary Forcing > Boundary Forcing Details > River Runoff Budget, detail-property
cmip6.ocean.boundary_forcing.boundary_forcing_details.surface_pressure, Ocean > Boundary Forcing > Boundary Forcing Details > Surface Pressure, detail-property
cmip6.ocean.boundary_forcing.boundary_forcing_details.tracers_flux_correction, Ocean > Boundary Forcing > Boundary Forcing Details > Tracers Flux Correction, detail-property
cmip6.ocean.boundary_forcing.boundary_forcing_details.wave_effects, Ocean > Boundary Forcing > Boundary Forcing Details > Wave Effects, detail-property
cmip6.ocean.boundary_forcing.momentum.bottom_friction.type, Ocean > Boundary Forcing > Momentum > Bottom Friction > Type, detail-property
cmip6.ocean.boundary_forcing.momentum.lateral_friction.type, Ocean > Boundary Forcing > Momentum > Lateral Friction > Type, detail-property
cmip6.ocean.boundary_forcing.tracers.sunlight_penetration.scheme, Ocean > Boundary Forcing > Tracers > Sunlight Penetration > Scheme, detail-property
cmip6.ocean.boundary_forcing.tracers.sunlight_penetration.tracers_sun_extinct_depth, Ocean > Boundary Forcing > Tracers > Sunlight Penetration > Tracers Sun Extinct Depth, detail-property
cmip6.ocean.boundary_forcing.tracers.sunlight_penetration.tracers_sun_ocean_colour, Ocean > Boundary Forcing > Tracers > Sunlight Penetration > Tracers Sun Ocean Colour, detail-property
cmip6.ocean.boundary_forcing.tracers.surface_salinity_atmos.scheme, Ocean > Boundary Forcing > Tracers > Surface Salinity Atmos > Scheme, detail-property
cmip6.ocean.boundary_forcing.tracers.surface_salinity_seaice.scheme, Ocean > Boundary Forcing > Tracers > Surface Salinity Seaice > Scheme, detail-property
, , 
cmip6.ocean.lateral_physics.ocean_transient_eddy_representation.scheme, Ocean > Lateral Physics > Ocean Transient Eddy Representation > Scheme, detail-property
cmip6.ocean.lateral_physics.momentum.eddy_viscosity_coeff.eddy_visc_coeff_background, Ocean > Lateral Physics > Momentum > Eddy Viscosity Coeff > Eddy Visc Coeff Background, detail-property
cmip6.ocean.lateral_physics.momentum.eddy_viscosity_coeff.eddy_visc_coeff_backscatter, Ocean > Lateral Physics > Momentum > Eddy Viscosity Coeff > Eddy Visc Coeff Backscatter, detail-property
cmip6.ocean.lateral_physics.momentum.eddy_viscosity_coeff.eddy_visc_coeff_cst, Ocean > Lateral Physics > Momentum > Eddy Viscosity Coeff > Eddy Visc Coeff Cst, detail-property
cmip6.ocean.lateral_physics.momentum.eddy_viscosity_coeff.eddy_visc_coeff_var, Ocean > Lateral Physics > Momentum > Eddy Viscosity Coeff > Eddy Visc Coeff Var, detail-property
cmip6.ocean.lateral_physics.momentum.eddy_viscosity_coeff.type, Ocean > Lateral Physics > Momentum > Eddy Viscosity Coeff > Type, detail-property
cmip6.ocean.lateral_physics.momentum.operator.direction, Ocean > Lateral Physics > Momentum > Operator > Direction, detail-property
cmip6.ocean.lateral_physics.momentum.operator.discretisation, Ocean > Lateral Physics > Momentum > Operator > Discretisation, detail-property
cmip6.ocean.lateral_physics.momentum.operator.order, Ocean > Lateral Physics > Momentum > Operator > Order, detail-property
cmip6.ocean.lateral_physics.tracers.details.mesoscale_closure, Ocean > Lateral Physics > Tracers > Details > Mesoscale Closure, detail-property
cmip6.ocean.lateral_physics.tracers.eddy_induced_velocity.eiv_added_diff, Ocean > Lateral Physics > Tracers > Eddy Induced Velocity > Eiv Added Diff, detail-property
cmip6.ocean.lateral_physics.tracers.eddy_induced_velocity.eiv_constant_val, Ocean > Lateral Physics > Tracers > Eddy Induced Velocity > Eiv Constant Val, detail-property
cmip6.ocean.lateral_physics.tracers.eddy_induced_velocity.eiv_flux_type, Ocean > Lateral Physics > Tracers > Eddy Induced Velocity > Eiv Flux Type, detail-property
cmip6.ocean.lateral_physics.tracers.eddy_induced_velocity.type, Ocean > Lateral Physics > Tracers > Eddy Induced Velocity > Type, detail-property
cmip6.ocean.lateral_physics.tracers.eddy_viscosity_coeff.eddy_visc_coeff_background, Ocean > Lateral Physics > Tracers > Eddy Viscosity Coeff > Eddy Visc Coeff Background, detail-property
cmip6.ocean.lateral_physics.tracers.eddy_viscosity_coeff.eddy_visc_coeff_backscatter, Ocean > Lateral Physics > Tracers > Eddy Viscosity Coeff > Eddy Visc Coeff Backscatter, detail-property
cmip6.ocean.lateral_physics.tracers.eddy_viscosity_coeff.eddy_visc_coeff_cst, Ocean > Lateral Physics > Tracers > Eddy Viscosity Coeff > Eddy Visc Coeff Cst, detail-property
cmip6.ocean.lateral_physics.tracers.eddy_viscosity_coeff.eddy_visc_coeff_var, Ocean > Lateral Physics > Tracers > Eddy Viscosity Coeff > Eddy Visc Coeff Var, detail-property
cmip6.ocean.lateral_physics.tracers.eddy_viscosity_coeff.type, Ocean > Lateral Physics > Tracers > Eddy Viscosity Coeff > Type, detail-property
cmip6.ocean.lateral_physics.tracers.operator.direction, Ocean > Lateral Physics > Tracers > Operator > Direction, detail-property
cmip6.ocean.lateral_physics.tracers.operator.discretisation, Ocean > Lateral Physics > Tracers > Operator > Discretisation, detail-property
cmip6.ocean.lateral_physics.tracers.operator.order, Ocean > Lateral Physics > Tracers > Operator > Order, detail-property
, , 
cmip6.ocean.timestepping_framework.timestepping_attributes.diurnal_cycle, Ocean > Timestepping Framework > Timestepping Attributes > Diurnal Cycle, detail-property
cmip6.ocean.timestepping_framework.timestepping_attributes.time_step, Ocean > Timestepping Framework > Timestepping Attributes > Time Step, detail-property
, , 
cmip6.ocean.uplow_boundaries.bottom_boundary_layer.ocean_bbl_lateral_mixing_coef, Ocean > Uplow Boundaries > Bottom Boundary Layer > Ocean Bbl Lateral Mixing Coef, detail-property
cmip6.ocean.uplow_boundaries.bottom_boundary_layer.ocean_sill_overflow, Ocean > Uplow Boundaries > Bottom Boundary Layer > Ocean Sill Overflow, detail-property
cmip6.ocean.uplow_boundaries.bottom_boundary_layer.type, Ocean > Uplow Boundaries > Bottom Boundary Layer > Type, detail-property
cmip6.ocean.uplow_boundaries.free_surface.ocean_embeded_seaice, Ocean > Uplow Boundaries > Free Surface > Ocean Embeded Seaice, detail-property
cmip6.ocean.uplow_boundaries.free_surface.scheme, Ocean > Uplow Boundaries > Free Surface > Scheme, detail-property
, , 
