Project, Institute, Document Type, Document Count
CMIP5, CSIRO-BOM, cim.1.software.ModelComponent, 2
CMIP5, BCC, cim.1.software.ModelComponent, 6
CMIP5, NCAR, cim.1.software.ModelComponent, 1
CMIP5, NCEP, cim.1.software.ModelComponent, 1
CMIP5, CMCC, cim.1.software.ModelComponent, 6
CMIP5, CNRM-CERFACS, cim.1.software.ModelComponent, 4
CMIP5, CSIRO-QCCCE, cim.1.software.ModelComponent, 3
CMIP5, EC-EARTH, cim.1.software.ModelComponent, 1
CMIP5, INPE, cim.1.software.ModelComponent, 2
CMIP5, NOAA-GFDL, cim.1.software.ModelComponent, 16
CMIP5, NASA-GISS, cim.1.software.ModelComponent, 11
CMIP5, MOHC, cim.1.software.ModelComponent, 8
CMIP5, INM, cim.1.software.ModelComponent, 1
CMIP5, IPSL, cim.1.software.ModelComponent, 7
CMIP5, MIROC, cim.1.software.ModelComponent, 2
CMIP5, MPI-M, cim.1.software.ModelComponent, 16
CMIP5, MRI, cim.1.software.ModelComponent, 12
CMIP5, NCC, cim.1.software.ModelComponent, 8
CMIP5, BCC, cim.1.shared.Platform, 1
CMIP5, NCAR, cim.1.shared.Platform, 1
CMIP5, NCEP, cim.1.shared.Platform, 2
CMIP5, CMCC, cim.1.shared.Platform, 2
CMIP5, CNRM-CERFACS, cim.1.shared.Platform, 1
CMIP5, CSIRO-QCCCE, cim.1.shared.Platform, 1
CMIP5, NOAA-GFDL, cim.1.shared.Platform, 1
CMIP5, NASA-GISS, cim.1.shared.Platform, 1
CMIP5, MOHC, cim.1.shared.Platform, 1
CMIP5, INM, cim.1.shared.Platform, 1
CMIP5, IPSL, cim.1.shared.Platform, 2
CMIP5, MIROC, cim.1.shared.Platform, 1
CMIP5, MPI-M, cim.1.shared.Platform, 1
CMIP5, MRI, cim.1.shared.Platform, 2
CMIP5, NCC, cim.1.shared.Platform, 1
CMIP5, BCC, cim.1.grids.GridSpec, 2
CMIP5, NCAR, cim.1.grids.GridSpec, 3
CMIP5, NCEP, cim.1.grids.GridSpec, 2
CMIP5, CMCC, cim.1.grids.GridSpec, 4
CMIP5, CNRM-CERFACS, cim.1.grids.GridSpec, 4
CMIP5, CSIRO-QCCCE, cim.1.grids.GridSpec, 2
CMIP5, NOAA-GFDL, cim.1.grids.GridSpec, 1
CMIP5, NASA-GISS, cim.1.grids.GridSpec, 3
CMIP5, MOHC, cim.1.grids.GridSpec, 5
CMIP5, INM, cim.1.grids.GridSpec, 2
CMIP5, MIROC, cim.1.grids.GridSpec, 5
CMIP5, MPI-M, cim.1.grids.GridSpec, 4
CMIP5, MRI, cim.1.grids.GridSpec, 6
CMIP5, NCC, cim.1.grids.GridSpec, 2
CMIP5, BCC, cim.1.data.DataObject, 8
CMIP5, NCAR, cim.1.data.DataObject, 8
CMIP5, NCEP, cim.1.data.DataObject, 3
CMIP5, CNRM-CERFACS, cim.1.data.DataObject, 25
CMIP5, CSIRO-QCCCE, cim.1.data.DataObject, 5
CMIP5, NOAA-GFDL, cim.1.data.DataObject, 6
CMIP5, MOHC, cim.1.data.DataObject, 41
CMIP5, MPI-M, cim.1.data.DataObject, 43
CMIP5, BCC, cim.1.activity.SimulationRun, 75
CMIP5, NCAR, cim.1.activity.SimulationRun, 13
CMIP5, NCEP, cim.1.activity.SimulationRun, 63
CMIP5, CMCC, cim.1.activity.SimulationRun, 11
CMIP5, CNRM-CERFACS, cim.1.activity.SimulationRun, 50
CMIP5, CSIRO-QCCCE, cim.1.activity.SimulationRun, 24
CMIP5, NOAA-GFDL, cim.1.activity.SimulationRun, 1
CMIP5, NASA-GISS, cim.1.activity.SimulationRun, 152
CMIP5, MOHC, cim.1.activity.SimulationRun, 46
CMIP5, INM, cim.1.activity.SimulationRun, 10
CMIP5, MIROC, cim.1.activity.SimulationRun, 47
CMIP5, MPI-M, cim.1.activity.SimulationRun, 177
CMIP5, MRI, cim.1.activity.SimulationRun, 17
CMIP5, NCC, cim.1.activity.SimulationRun, 42
CMIP5, NASA-GISS, cim.1.activity.NumericalExperiment, 120
CMIP5, BCC, cim.1.activity.Ensemble, 25
CMIP5, NCAR, cim.1.activity.Ensemble, 5
CMIP5, CMCC, cim.1.activity.Ensemble, 6
CMIP5, CNRM-CERFACS, cim.1.activity.Ensemble, 27
CMIP5, CSIRO-QCCCE, cim.1.activity.Ensemble, 16
CMIP5, NOAA-GFDL, cim.1.activity.Ensemble, 1
CMIP5, NASA-GISS, cim.1.activity.Ensemble, 36
CMIP5, MOHC, cim.1.activity.Ensemble, 16
CMIP5, MIROC, cim.1.activity.Ensemble, 30
CMIP5, MPI-M, cim.1.activity.Ensemble, 95
CMIP5, MRI, cim.1.activity.Ensemble, 5
CMIP5, NCC, cim.1.activity.Ensemble, 4
